DateTime,AddedIPs,RemovedIPs
1529434851,52,0
1529435646,56,111
1529436486,81,0
1529437806,110,191
1529439306,88,50
1529440927,95,154
1529441766,35,0
1529443685,110,72
1529445366,95,125
1529446455,42,144
1529446832,1003,0
1529447403,38,0
1529450045,133,380
1529451026,0,254
1529451927,105,116
1529452566,138,0
1529454620,332,222
1529455325,101,220
1529456171,48,0
1529458086,141,186
1529458925,51,228
1529460005,59,1
1529460847,119,100
1529462534,118,181
1529463912,71,143
1529465440,67,0
1529466967,117,303
1529467233,0,254
1529468047,51,122
1529469726,105,174
1529471652,123,93
1529472486,71,0
1529474166,143,226
1529476086,187,125
1529476926,90,171
1529478310,199,139
1529480705,195,0
1529481719,148,383
1529482446,41,1
1529483436,253,0
1529484304,108,167
1529485247,109,274
1529486046,102,3
1529487906,83,195
1529489646,194,133
1529490487,58,0
1529491326,57,234
1529492166,83,0
1529494226,67,137
1529494478,100,195
1529496016,118,46
1529499068,189,430
1529500446,106,163
1529501286,54,1
1529503226,510,0
1529503805,172,582
1529505018,1279,0
1529505916,46,372
1529506176,76,96
1529507725,3584,0
1529508635,79,169
1529508906,59,342
1529510107,58,64
1529511304,77,147
1529512086,41,0
1529512217,256,0
1529513492,87,248
1529514611,150,198
1529515818,42,0
1529516423,166,213
1529517619,1362,1728
1529518447,257,125
1529519426,256,0
1529520127,153,381
1529521389,63,217
1529523920,133,331
1529524573,50,0
1529526486,137,206
1529528061,76,182
1529529306,54,189
1529530086,64,0
1529530925,50,261
1529532043,0,1016
1529532846,129,95
1529533687,73,0
1529536446,322,214
1529537560,59,100
1529539813,178,86
1529541935,197,148
1529542566,148,0
1529544630,201,143
1529547008,153,288
1529548927,172,148
1529550847,235,189
1529552440,147,323
1529555434,203,111
1529556965,168,184
1529558136,177,93
1529559945,96,152
1529561412,131,148
1529561652,15,0
1529562486,66,0
1529564033,124,204
1529565251,143,155
1529566926,135,107
1529567766,80,0
1529568631,22,456
1529568846,60,2
1529570527,127,129
1529571366,68,1
1529573429,72,67
1529574011,147,101
1529576410,272,96
1529577726,148,147
1529579646,226,80
1529580486,118,0
1529582166,189,125
1529584203,112,198
1529584506,148,121
1529587210,327,120
1529588411,80,131
1529588742,0,1767
1529590087,148,101
1529590827,1022,644
1529591436,0,1517
1529592759,220,142
1529593239,0,3533
1529593506,175,182
1529594657,15,28
1529595024,148,1
1529595727,71,250
1529596578,22,43
1529597647,141,98
1529597707,0,229
1529598492,9,26
1529599539,153,82
1529600441,22,31
1529601324,1359,131
1529602353,16,26
1529602926,132,154
1529604267,88,23
1529604906,91,78
1529606194,20,26
1529606246,78,122
1529608112,8,40
1529608538,115,180
1529610024,145,36
1529610127,50,184
1529611950,30,26
1529612662,99,87
1529613870,149,134
1529614566,90,31
1529615794,12,25
1529616623,60,94
1529617700,8,23
1529618438,112,102
1529619628,155,78
1529622281,692,469
1529622306,103,115
1529622845,36,0
1529624189,23,34
1529624526,165,151
1529626108,10,38
1529626212,103,77
1529627403,68,0
1529628015,14,49
1529628127,67,142
1529629253,117,92
1529629945,17,30
1529630410,72,1
1529631861,14,16
1529631933,103,192
1529632568,98,0
1529633789,14,24
1529634604,89,55
1529635696,8,16
1529636438,112,80
1529636460,84,126
1529637622,34,30
1529638094,232,0
1529638934,43,133
1529639547,7,38
1529639778,54,0
1529640906,74,69
1529641459,10,28
1529642526,131,160
1529643381,11,29
1529643910,96,135
1529645294,9,24
1529646341,97,152
1529647233,21,26
1529647240,168,225
1529648131,39,0
1529649149,42,20
1529649727,81,281
1529651073,70,36
1529651647,73,109
1529652970,21,42
1529653538,66,92
1529654908,135,24
1529656086,142,147
1529656812,25,32
1529657765,96,199
1529658987,95,118
1529659704,43,1
1529660525,31,180
1529661140,16,26
1529662446,148,122
1529663063,24,1146
1529663707,91,136
1529664972,27,32
1529665506,150,159
1529666899,492,0
1529668132,198,167
1529668859,30,28
1529669844,93,67
1529670752,69,22
1529672166,159,101
1529672659,27,11
1529673245,49,129
1529674583,27,13
1529675144,96,123
1529676525,21,10
1529676942,149,84
1529678424,22,8
1529678738,79,67
1529680353,15,22
1529680543,110,96
1529681440,121,100
1529682255,13,27
1529682606,62,37
1529682967,11,0
1529684186,1030,23
1529684912,280,73
1529686102,74,184
1529686833,0,768
1529687646,102,108
1529688017,16,22
1529689206,78,147
1529689942,13,12
1529691247,103,98
1529691857,9,284
1529692927,91,118
1529693780,17,18
1529694030,57,0
1529695695,129,116
1529695844,79,0
1529697650,188,178
1529699544,168,144
1529700126,55,129
1529700967,38,0
1529701473,11,13
1529702106,48,89
1529702892,56,0
1529703374,19,33
1529703727,60,172
1529704565,94,0
1529705297,17,25
1529706486,155,141
1529707826,24,294
1529708433,70,154
1529708706,97,130
1529709855,464,0
1529710926,190,294
1529711775,12,25
1529712880,278,94
1529713688,11,24
1529714526,145,163
1529715627,12,12
1529715906,89,117
1529717542,13,13
1529718342,240,145
1529718970,98,0
1529719465,13,8
1529720113,108,152
1529720896,53,0
1529721379,5,7
1529722508,111,250
1529723296,10,18
1529723736,53,67
1529724626,68,0
1529725215,21,35
1529725539,76,127
1529726166,84,0
1529727146,11,21
1529728234,92,195
1529729052,10,18
1529729133,90,241
1529730993,131,124
1529731686,67,0
1529732527,55,140
1529732894,4,6
1529734548,113,181
1529734840,10,31
1529735286,52,0
1529736742,13,16
1529736965,121,232
1529738046,66,136
1529738652,7,26
1529739726,139,184
1529740577,19,40
1529741646,132,95
1529742489,11,22
1529742907,89,138
1529744419,19,24
1529744708,122,224
1529746342,10,21
1529747136,332,152
1529748280,116,782
1529749546,59,170
1529749693,76,0
1529750178,20,23
1529750989,127,227
1529752106,330,0
1529752453,73,229
1529754014,12,15
1529754336,94,423
1529755949,90,237
1529756406,79,39
1529757853,27,15
1529757938,115,130
1529759784,145,244
1529760628,102,0
1529761699,8,10
1529762455,68,351
1529763632,110,149
1529764933,98,156
1529765538,11,8
1529766846,80,147
1529767452,4,11
1529768534,61,329
1529769377,0,15
1529769643,43,182
1529770535,302,767
1529771290,256,10
1529772127,131,145
1529773224,82,8
1529775141,74,148
1529777071,173,146
1529778474,321,75
1529778487,35,0
1529778978,0,17
1529779331,96,179
1529780175,30,0
1529780909,0,15
1529782086,98,78
1529782811,0,12
1529784744,2,15
1529784905,188,541
1529786649,0,20
1529786724,149,106
1529787905,82,164
1529788582,0,17
1529789285,113,0
1529790489,0,16
1529790971,96,125
1529792407,0,17
1529793025,39,85
1529795080,444,124
1529795710,107,160
1529796486,61,0
1529796977,0,15
1529797326,73,123
1529798918,0,15
1529799343,148,130
1529800815,256,14
1529801104,75,166
1529802753,83,172
1529803831,118,126
1529804657,0,15
1529804997,102,0
1529805652,35,126
1529806582,0,15
1529807403,90,0
1529808497,5,13
1529809242,241,256
1529810415,0,10
1529811023,95,99
1529811727,79,122
1529812337,0,13
1529813739,155,155
1529814264,0,10
1529814604,83,0
1529816175,0,11
1529816433,101,169
1529818101,61,132
1529818231,74,0
1529818926,52,134
1529820035,0,22
1529820936,161,84
1529821950,91,17
1529823305,78,115
1529823867,0,12
1529825779,78,196
1529826333,100,186
1529827698,0,10
1529828046,120,88
1529829629,0,19
1529830846,184,144
1529831538,0,23
1529832635,132,319
1529833461,167,245
1529834174,40,0
1529835381,1,785
1529835963,73,118
1529836086,29,0
1529836927,63,150
1529837294,0,20
1529838944,69,94
1529839213,331,0
1529839831,140,0
1529841143,0,13
1529843060,121,312
1529843403,49,0
1529844980,0,17
1529845236,94,118
1529846894,76,99
1529848899,0,16
1529849964,165,157
1529850744,135,100
1529852012,98,201
1529852907,0,10
1529853325,82,66
1529854825,0,21
1529855135,101,72
1529856027,510,504
1529856750,72,125
1529857827,138,252
1529858319,113,98
1529858664,0,7
1529858721,21,0
1529860582,123,124
1529861106,87,0
1529862493,0,7
1529863229,96,128
1529864117,0,255
1529864420,190,101
1529865003,56,0
1529866334,0,15
1529866820,354,120
1529868260,109,105
1529869327,116,191
1529870178,0,17
1529872125,103,91
1529872933,149,153
1529874043,79,22
1529875948,144,132
1529876526,63,156
1529877866,0,22
1529878544,101,147
1529878924,240,0
1529879286,83,0
1529880419,0,24
1529881238,156,181
1529882047,494,159
1529882415,336,0
1529883733,210,241
1529884331,0,14
1529884567,62,0
1529885731,75,82
1529886505,0,13
1529886543,110,0
1529887326,56,277
1529888427,0,16
1529888725,109,156
1529890337,0,24
1529890937,182,184
1529892269,1,17
1529892608,127,71
1529894180,0,10
1529894527,118,182
1529896108,0,10
1529896532,85,119
1529898020,90,23
1529898974,101,154
1529899948,0,16
1529900698,66,84
1529901860,51,8
1529903111,146,241
1529903781,0,15
1529904625,33,0
1529905698,53,99
1529906440,94,42
1529907632,2,13
1529908204,163,104
1529908926,70,113
1529909539,0,15
1529910845,103,171
1529911548,0,17
1529912528,91,139
1529913374,0,16
1529913634,103,0
1529915291,109,123
1529916126,106,76
1529917231,59,22
1529918134,60,98
1529919146,0,23
1529919727,99,205
1529921060,0,267
1529921646,113,102
