DateTime,Entries,UniqueIPs
1529610022,63917,9314950
1529610211,63917,9314950
1529610932,63917,9314950
1529611892,63915,9314948
1529612414,63916,9314949
1529612852,63918,9314951
1529613868,63912,9314945
1529614772,63910,9314943
1529615792,63927,9314960
1529616451,63930,9314963
1529617171,63929,9314962
1529617699,63940,9314973
1529617891,63940,9314973
1529618612,63940,9314973
1529619626,63950,9314984
1529622280,63957,9314991
1529622933,63957,9314991
1529623652,63960,9314994
1529624187,63974,9315008
1529624611,63976,9315010
1529625332,63978,9315012
1529626106,63979,9315012
1529626772,63978,9315011
1529627050,63982,9315015
1529627491,63984,9315017
1529628212,63986,9315019
1529628931,63989,9315022
1529629652,63986,9315018
1529629943,63963,9314994
1529630371,63962,9314994
1529631141,63964,9314996
1529631812,63965,9314997
1529632532,63966,9314998
1529633252,63965,9314996
1529633786,63967,9314999
1529634211,63964,9314996
1529635171,63963,9314995
1529635694,63970,9315001
1529635892,63970,9315001
1529636612,63972,9315003
1529637332,63970,9315001
1529637620,63971,9315001
1529638052,63973,9315003
1529638772,63973,9315003
1529639545,63981,9315012
1529640270,63976,9315007
1529640932,63974,9315005
1529641457,63994,9315025
1529641940,63993,9315024
1529642612,63990,9315020
1529643332,63991,9315021
1529644772,63989,9315019
1529645291,64002,9315032
1529645491,64002,9315032
1529646212,64004,9315034
1529646724,64006,9315036
1529646933,64008,9315038
1529647231,64012,9315041
1529647651,64014,9315043
1529648372,64011,9315040
1529649147,64008,9315037
1529649813,64008,9315037
1529650532,63982,9315011
1529651073,63987,9315015
1529651252,63985,9315013
1529651971,64009,9315037
1529652692,64005,9315033
1529652970,63995,9315023
1529653412,63993,9315021
1529654131,63994,9315022
1529654908,64004,9315032
1529655572,64004,9315032
1529656292,64001,9315029
1529656569,64008,9315036
1529656812,64005,9315033
1529657012,64000,9315028
1529657731,63999,9315027
1529658987,63999,9315027
1529659651,64000,9315028
1529660612,63999,9315026
1529661140,64016,9315043
1529661572,64012,9315039
1529662291,64013,9315040
1529663063,64028,9315054
1529663732,64026,9315052
1529664452,64017,9315043
1529664972,64024,9315050
1529665411,64023,9315049
1529666371,64021,9315047
1529666898,64024,9315050
1529667332,64023,9315049
1529668292,64016,9315042
1529668858,64012,9315037
1529669252,64014,9315039
1529669972,64012,9315037
1529670751,64013,9315037
1529671211,64016,9315040
1529671412,64014,9315038
1529672131,64011,9315035
1529672658,64006,9315032
1529673092,64006,9315032
1529673811,64208,9315234
1529674532,64208,9315234
1529675252,64211,9315237
1529675971,64212,9315238
1529676524,64205,9315231
1529676931,64201,9315227
1529677651,64203,9315229
1529678423,64194,9315222
1529680352,64189,9315216
1529681012,64188,9315215
1529681732,64185,9315212
1529682254,64196,9315223
1529682691,64194,9315221
1529683412,64196,9315223
1529684185,64187,9315214
1529684851,64186,9315213
1529685849,64188,9315215
1529686101,64190,9315216
1529686532,64189,9315215
1529687492,64187,9315213
1529688016,64207,9315234
1529688452,64204,9315231
1529689171,64204,9315231
1529689941,64203,9315230
1529690409,64204,9315231
1529690612,64207,9315234
1529691332,64208,9315235
1529691856,64216,9315243
1529692292,64219,9315246
1529693011,64215,9315242
1529693779,64214,9315241
1529694452,64211,9315238
1529695172,64210,9315237
1529695694,64219,9315246
1529696131,64218,9315245
1529696852,64216,9315244
1529697649,64218,9315245
1529698292,64220,9315247
1529699011,64219,9315246
1529699542,64240,9315268
1529699973,64238,9315266
1529700488,64239,9315267
1529700692,64237,9315265
1529701472,64242,9315270
1529702131,64235,9315263
1529702853,64229,9315257
1529703373,64238,9315266
1529703572,64238,9315266
1529704292,64239,9315267
1529705011,64239,9315267
1529705731,64236,9315264
1529706452,64237,9315265
