DateTime,Entries,UniqueIPs
1529464922,217370,239149
1529466122,217373,239151
1529467321,217374,239152
1529467922,217377,239156
1529468523,217378,239157
1529469721,217382,239161
1529470321,217387,239166
1529470921,217391,239170
1529471521,217392,239171
1529472122,217392,239171
1529474522,217393,239172
1529475722,217397,239176
1529476922,217400,239177
1529477522,217406,239179
1529478121,217412,239185
1529479321,217413,239186
1529479921,217419,239193
1529480522,217421,239195
1529481722,217422,239196
1529482322,217432,239202
1529482921,217437,239207
1529483521,217439,239205
1529484122,217440,239205
1529485322,217443,239208
1529486522,217445,239210
1529487722,217452,239216
1529488923,217454,239218
1529489522,217457,239221
1529490122,217463,239228
1529491321,217467,239225
1529491922,217469,239229
1529492522,217478,239239
1529493722,217478,239237
1529494321,217478,239238
1529496122,217480,239240
1529497923,217483,239243
1529498521,217487,239247
1529499122,217488,239248
1529499722,217506,239268
1529500322,217508,239272
1529500922,217510,239273
1529501522,217511,239274
1529502121,217512,239272
1529503322,217520,239281
1529504522,217528,239283
1529505722,217540,239295
1529506321,217541,239296
1529506921,217543,239296
1529507523,217544,239297
1529508122,217548,239301
1529508722,217549,239302
1529509322,217551,239304
1529509921,217573,239329
1529510522,217585,239344
1529511721,217589,239343
1529512322,217595,239342
1529512922,217598,239345
1529513521,217600,239347
1529514121,217608,239354
1529515921,217610,239356
1529516521,217611,239357
1529517122,217615,239358
1529517721,217616,239360
1529518322,217620,239365
1529518922,217621,239362
1529519522,217625,239368
1529520122,217626,239369
1529521321,217642,239385
1529522522,217644,239387
1529523722,217648,239393
1529524321,217649,239394
1529524922,217650,239396
1529525522,217650,239395
1529526722,217655,239400
1529527322,217659,239404
1529528522,217665,239410
1529529121,217668,239413
1529529721,217672,239418
1529530322,217674,239421
1529530922,217684,239430
1529531522,217686,239432
1529532122,217690,239436
1529533322,217693,239439
1529534522,217694,239435
1529536322,217702,239441
1529536922,217712,239451
1529537581,217711,239450
1529538122,217722,239461
1529538722,217726,239465
1529539322,217734,239473
1529540522,217740,239478
1529541721,217745,239481
1529542322,217748,239484
1529542921,217750,239486
1529544123,217752,239486
1529544721,217758,239492
1529545322,217759,239493
1529546522,217761,239495
1529547121,217762,239496
1529547722,217763,239497
1529548921,217772,239506
1529549522,217774,239508
1529550122,217778,239512
1529550721,217787,239520
1529551322,217790,239523
1529551921,217791,239524
1529552522,217792,239525
1529553722,217794,239527
1529554321,217795,239529
1529555521,217814,239549
1529556122,217834,239569
1529556722,217849,239584
1529557322,217851,239586
1529557922,217853,239588
1529559721,217856,239591
1529560923,217861,239597
1529562122,217879,239615
1529563322,217880,239616
1529564522,217881,239617
1529565721,217884,239621
1529566922,217887,239624
1529567521,217889,239626
1529568122,217900,239637
1529568721,217905,239642
1529569321,217907,239643
1529569921,217908,239644
1529570522,217909,239643
1529571122,217910,239644
1529572922,217913,239646
1529573581,217914,239647
1529574121,217921,239654
1529574722,217925,239657
1529575322,217929,239662
1529575921,217930,239663
1529576522,217935,239668
1529577722,217936,239669
1529578922,217938,239671
1529579522,217939,239672
1529580122,217943,239676
1529581321,217955,239689
1529582521,217958,239693
1529583721,217963,239698
1529584321,217969,239704
1529584922,217975,239710
1529586122,217980,239715
1529586722,217982,239718
1529587321,217989,239725
1529587922,217991,239727
