DateTime,AddedIPs,RemovedIPs
1528346898,17,13
1528348810,22,19
1528350741,24,29
1528355529,34,35
1528359390,101,71
1528361288,67,139
1528363207,41,39
1528365147,44,31
1528367051,48,43
1528368967,52,27
1528370902,42,45
1528372834,57,2125
1528374738,51,43
1528376662,1206,0
1528378569,41,51
1528380490,43,67
1528382410,34,55
1528384330,37,38
1528400906,5,709
1528402812,31,47
1528404734,24,67
1528406666,53,53
1528408574,53,46
1528411096,99,92
1528412899,1146,0
1528414820,34,50
1528416731,26,64
1528418665,25,48
1528420566,43,35
1528422485,26,39
1528424405,28,38
1528426342,27,30
1528428256,26,59
1528430267,39,40
1528432089,65,54
1528434018,113,39
1528436047,61,120
1528437860,68,37
1528439778,59,67
1528441698,43,49
1528443614,42,36
1528445543,71,45
1528447453,80,66
1528449372,63,50
1528451423,30,43
1528453457,34,1923
1528455364,45,46
1528457287,847,0
1528459234,88,59
1528461137,49,38
1528463050,30,27
1528464966,24,25
1528466904,48,34
1528469555,44,29
1528471457,79,24
1528473369,66,24
1528475300,35,31
1528477237,84,4
1528479139,28,57
1528481063,30,39
1528482980,39,54
1528484897,66,60
1528486865,37,39
1528488742,33,49
1528490653,50,53
1528492590,44,43
1528494496,35,34
1528496421,54,24
1528498475,54,43
1528500490,921,1
1528502415,73,46
1528504341,30,36
1528506255,45,25
1528508170,21,23
1528510105,33,33
1528512009,25,28
1528513932,38,24
1528515860,32,24
1528517770,18,29
1528519694,23,0
1528521619,38,2
1528523530,20,58
1528525453,20,41
1528527380,36,53
1528529286,38,58
1528531217,93,90
1528533144,31,54
1528535058,37,45
1528536981,44,36
1528538892,43,1597
1528540811,23,39
1528542738,1175,0
1528544652,38,40
1528546582,47,40
1528548494,65,30
1528550409,29,36
1528552343,44,29
1528554256,37,26
1528556178,40,30
1528558090,27,26
1528560016,100,120
1528561943,38,58
1528565781,55,118
1528567701,32,66
1528569609,23,52
1528571532,28,43
1528573452,33,46
1528575370,27,67
1528577301,18,83
1528579211,20,71
1528581144,18,32
1528583064,18,41
1528586444,1062,0
1528588336,21,36
1528590274,14,38
1528592173,12,21
1528594094,6,36
1528596022,21,55
1528597947,19,29
1528599860,8,25
1528601806,19,41
1528603706,37,75
1528605616,30,56
1528607550,32,53
1528609460,59,63
1528611380,48,65
1528613298,58,51
1528615211,50,42
1528617134,29,44
1528619057,58,65
1528620984,64,79
1528622893,62,69
1528624828,66,1982
1528626745,43,15
1528628660,861,0
1528630582,56,53
1528632507,46,37
1528634413,39,35
1528636592,45,45
1528638531,58,19
1528640417,54,33
1528642335,33,30
1528644284,27,38
1528646172,29,33
1528648091,42,19
1528650027,72,59
1528651948,14,19
1528653882,43,24
1528655784,51,28
1528657697,36,35
1528659625,43,44
1528661553,55,52
1528663460,35,32
1528666862,102,81
1528668984,31,43
1528670900,25,15
1528672825,792,0
1528674741,36,48
1528676656,55,35
1528678579,41,32
1528680510,51,44
1528682435,71,50
1528684353,38,29
1528686278,33,37
1528688187,32,31
1528690102,26,17
1528692018,25,20
1528693940,36,37
1528695864,28,18
1528697778,33,23
1528699695,26,28
1528701649,23,33
1528703552,24,44
1528705465,20,50
1528707371,16,32
1528709298,44,38
1528711252,87,1722
1528713139,40,42
1528715063,849,0
1528716970,40,22
1528718897,37,15
1528720810,58,10
1528722735,49,7
1528724665,25,12
1528726583,26,14
1528728490,21,20
1528730410,28,10
1528732742,36,17
1528735195,41,63
1528737045,27,37
1528739200,27,58
1528741218,16,52
1528743146,21,51
1528745048,29,58
1528747223,75,103
1528749030,19,75
1528751056,21,65
1528752969,21,49
1528754902,32,25
1528757112,17,40
1528758984,806,0
1528760893,21,20
1528762811,21,13
1528764759,30,9
1528766653,27,6
1528768569,19,10
1528770491,13,15
1528772413,32,26
1528774345,17,15
1528776305,13,29
1528778169,13,31
1528780105,33,36
1528782014,31,57
1528783937,20,50
1528785862,63,51
1528787766,45,55
1528789691,39,39
1528791615,40,60
1528793526,43,74
1528795450,33,64
1528797374,45,49
1528799288,53,1857
1528801224,859,1
1528803138,42,39
1528805051,34,58
1528806969,26,43
1528808899,36,51
1528810808,52,45
1528812735,36,29
1528815396,31,38
1528817297,25,31
1528819230,52,62
1528821148,42,25
1528823064,51,32
1528824971,26,34
1528826911,39,36
1528828812,25,23
1528830741,37,27
1528832668,27,22
1528834577,33,17
1528836507,41,16
1528838419,45,45
1528840344,23,47
1528842259,45,39
1528844173,56,43
1528846104,809,0
1528848030,58,92
1528849949,18,42
1528851861,23,50
1528853774,31,44
1528855710,35,27
1528857615,22,37
1528859542,15,29
1528861466,29,34
1528863406,16,26
1528865540,23,25
1528867459,23,27
1528869391,15,31
1528871298,34,33
1528873230,90,46
1528875145,34,20
1528877054,18,17
1528878970,37,15
1528880906,32,45
1528882819,38,46
1528884738,34,1485
1528886662,31,53
1528888582,776,0
1528890493,43,20
1528892430,48,21
1528894333,29,35
1528896254,29,26
1528898179,24,23
1528900092,38,21
1528902034,59,28
1528903941,33,16
1528905857,37,16
1528907782,32,16
1528909698,19,34
1528911619,23,32
1528913542,33,19
1528915463,21,55
1528917372,23,47
1528919325,30,36
1528921235,178,0
1528923140,35,53
1528925057,27,47
1528926987,46,36
1528928894,31,45
1528932043,42,79
1528933938,24,48
1528935857,19,52
1528937780,23,53
1528939698,692,0
1528941647,34,30
1528943549,16,33
1528945472,13,22
1528947378,14,22
1528949302,21,18
1528951264,12,9
1528953188,15,15
1528955098,22,15
1528957032,20,13
1528958937,18,12
1528960850,18,30
1528962783,14,30
1528964690,14,18
1528966609,24,53
1528968529,26,47
1528970476,43,78
1528972332,24,44
1528974297,19,33
1528976178,19,47
1528978108,20,1659
1528980014,20,28
1528981933,703,0
1528983870,21,26
1528985787,21,35
1528987693,23,21
1528989617,22,20
1528991542,28,34
1528993458,23,33
1528995378,15,26
1528997298,27,19
1528999222,42,48
1529001145,18,19
1529003059,10,18
1529004973,21,15
1529517619,1651,1954
1529590827,1034,759
1529592759,44,30
1529594657,19,32
1529596578,24,45
1529598492,11,36
1529600441,24,34
1529602353,20,29
1529604267,26,24
1529606194,23,31
1529608112,15,47
1529610024,35,48
1529611950,35,30
1529613870,19,27
1529615794,19,28
1529617700,14,24
1529619628,24,20
1529622281,700,0
1529624189,29,40
1529626108,14,39
1529628015,20,53
1529629945,23,34
1529631861,16,19
1529633789,16,28
1529635696,13,21
1529637622,59,31
1529639547,12,40
1529641459,14,33
1529643381,14,32
1529645294,10,27
1529647233,28,27
1529649149,16,21
1529651073,14,45
1529652970,26,52
1529654908,12,30
1529656812,28,36
1529658987,23,28
1529661140,18,27
1529663063,31,1366
1529664972,39,40
1529666899,608,0
1529668859,33,31
1529670752,18,22
1529672659,31,14
1529674583,31,23
1529676525,25,12
1529678424,24,10
1529680353,20,32
1529682255,15,37
1529684186,40,31
1529686102,15,24
1529688017,22,30
1529689942,15,16
1529691857,12,33
1529693780,19,22
1529695695,17,35
1529697650,19,41
1529699544,18,26
1529701473,13,16
1529703374,26,35
1529705297,23,30
1529707826,28,53
1529709855,566,0
1529711775,13,28
1529713688,12,24
1529715627,14,15
1529717542,15,19
1529719465,18,11
1529721379,8,8
1529723296,10,24
1529725215,26,46
1529727146,14,26
1529729052,14,22
1529730993,14,29
1529732894,7,9
1529734840,23,35
1529736742,20,17
1529738652,9,30
1529740577,22,40
1529742489,13,25
1529744419,23,28
1529746342,14,22
1529748280,21,932
1529750178,33,30
1529752106,435,0
1529754014,17,17
1529755949,23,23
1529757853,31,18
1529759784,25,28
1529761699,10,16
1529763632,11,17
1529765538,14,13
1529767452,4,15
1529769377,0,20
1529771290,0,14
1529773224,44,11
1529775141,0,18
1529777071,0,19
1529778978,0,23
1529780909,0,17
1529782811,0,13
1529784744,6,18
1529786649,0,24
1529788582,0,24
1529790489,0,21
1529792407,0,20
1529795080,393,0
1529796977,0,20
1529798918,0,18
1529800815,0,17
1529802753,0,30
1529804657,0,18
1529806582,0,16
1529808497,13,16
1529810415,0,16
1529812337,0,16
1529814264,0,14
1529816175,0,14
1529818101,10,11
1529820035,0,28
1529821950,20,20
1529823867,0,14
1529825779,0,25
1529827698,0,13
1529829629,0,21
1529831538,0,30
1529833461,0,21
1529835381,3,1045
1529837294,0,35
1529839213,473,0
1529841143,0,16
1529843060,0,18
1529844980,0,23
1529846894,0,27
1529848899,0,24
1529850744,0,14
1529852907,0,15
1529854825,0,27
1529856750,0,21
1529858664,0,13
1529860582,0,20
1529862493,0,13
1529864420,0,19
1529866334,0,26
1529868260,0,18
1529870178,0,22
1529872125,0,26
1529874043,0,30
1529875948,0,29
1529877866,0,30
1529880419,0,42
1529882415,473,0
1529884331,0,16
1529886505,0,21
1529888427,0,20
1529890337,0,27
1529892269,2,24
1529894180,0,16
1529896108,0,13
1529898020,0,27
1529899948,0,21
1529901860,0,13
1529903781,0,20
1529905698,0,13
1529907632,2,20
1529909539,0,25
1529911548,0,18
1529913374,0,22
1529915291,0,26
1529917231,0,27
1529919146,0,32
1529921060,0,381
