DateTime,Entries,UniqueIPs
1528346898,4161,4161
1528348810,4164,4164
1528350741,4159,4159
1528355529,4158,4158
1528359390,4188,4188
1528361288,4116,4116
1528363207,4118,4118
1528365147,4131,4131
1528367051,4136,4136
1528368967,4161,4161
1528370902,4158,4158
1528372834,2090,2090
1528374738,2098,2098
1528376662,3304,3304
1528378569,3294,3294
1528380490,3270,3270
1528382410,3249,3249
1528384330,3248,3248
1528400906,2544,2544
1528402812,2528,2528
1528404734,2485,2485
1528406666,2485,2485
1528408574,2492,2492
1528411096,2499,2499
1528412899,3645,3645
1528414820,3629,3629
1528416731,3591,3591
1528418665,3568,3568
1528420566,3576,3576
1528422485,3563,3563
1528424405,3553,3553
1528426342,3550,3550
1528428256,3517,3517
1528430267,3516,3516
1528432089,3527,3527
1528434018,3601,3601
1528436047,3542,3542
1528437860,3573,3573
1528439778,3565,3565
1528441698,3559,3559
1528443614,3565,3565
1528445543,3591,3591
1528447453,3605,3605
1528449372,3618,3618
1528451423,3605,3605
1528453457,1716,1716
1528455364,1715,1715
1528457287,2562,2562
1528459234,2591,2591
1528461137,2602,2602
1528463050,2605,2605
1528464966,2604,2604
1528466904,2618,2618
1528469555,2633,2633
1528471457,2688,2688
1528473369,2730,2730
1528475300,2734,2734
1528477237,2814,2814
1528479139,2785,2785
1528481063,2776,2776
1528482980,2761,2761
1528484897,2767,2767
1528486865,2765,2765
1528488742,2749,2749
1528490653,2746,2746
1528492590,2747,2747
1528494496,2748,2748
1528496421,2778,2778
1528498475,2789,2789
1528500490,3709,3709
1528502415,3736,3736
1528504341,3730,3730
1528506255,3750,3750
1528508170,3748,3748
1528510105,3748,3748
1528512009,3745,3745
1528513932,3759,3759
1528515860,3767,3767
1528517770,3756,3756
1528519694,3779,3779
1528521619,3815,3815
1528523530,3777,3777
1528525453,3756,3756
1528527380,3739,3739
1528529286,3719,3719
1528531217,3722,3722
1528533144,3699,3699
1528535058,3691,3691
1528536981,3699,3699
1528538892,2145,2145
1528540811,2129,2129
1528542738,3304,3304
1528544652,3302,3302
1528546582,3309,3309
1528548494,3344,3344
1528550409,3337,3337
1528552343,3352,3352
1528554256,3363,3363
1528556178,3373,3373
1528558090,3374,3374
1528560016,3354,3354
1528561943,3334,3334
1528565781,3271,3271
1528567701,3237,3237
1528569609,3208,3208
1528571532,3193,3193
1528573452,3180,3180
1528575370,3140,3140
1528577301,3075,3075
1528579211,3024,3024
1528581144,3010,3010
1528583064,2987,2987
1528586444,4049,4049
1528588336,4034,4034
1528590274,4010,4010
1528592173,4001,4001
1528594094,3971,3971
1528596022,3937,3937
1528597947,3927,3927
1528599860,3910,3910
1528601806,3888,3888
1528603706,3850,3850
1528605616,3824,3824
1528607550,3803,3803
1528609460,3799,3799
1528611380,3782,3782
1528613298,3789,3789
1528615211,3797,3797
1528617134,3782,3782
1528619057,3775,3775
1528620984,3760,3760
1528622893,3753,3753
1528624828,1837,1837
1528626745,1865,1865
1528628660,2726,2726
1528630582,2729,2729
1528632507,2738,2738
1528634413,2742,2742
1528636592,2742,2742
1528638531,2781,2781
1528640417,2802,2802
1528642335,2805,2805
1528644284,2794,2794
1528646172,2790,2790
1528648091,2813,2813
1528650027,2826,2826
1528651948,2821,2821
1528653882,2840,2840
1528655784,2863,2863
1528657697,2864,2864
1528659625,2863,2863
1528661553,2866,2866
1528663460,2869,2869
1528666862,2890,2890
1528668984,2878,2878
1528670900,2888,2888
1528672825,3680,3680
1528674741,3668,3668
1528676656,3688,3688
1528678579,3697,3697
1528680510,3704,3704
1528682435,3725,3725
1528684353,3734,3734
1528686278,3730,3730
1528688187,3731,3731
1528690102,3740,3740
1528692018,3745,3745
1528693940,3744,3744
1528695864,3754,3754
1528697778,3764,3764
1528699695,3762,3762
1528701649,3752,3752
1528703552,3732,3732
1528705465,3702,3702
1528707371,3686,3686
1528709298,3692,3692
1528711252,2057,2057
1528713139,2055,2055
1528715063,2904,2904
1528716970,2922,2922
1528718897,2944,2944
1528720810,2992,2992
1528722735,3034,3034
1528724665,3047,3047
1528726583,3059,3059
1528728490,3060,3060
1528730410,3078,3078
1528732742,3097,3097
1528735195,3075,3075
1528737045,3065,3065
1528739200,3034,3034
1528741218,2998,2998
1528743146,2968,2968
1528745048,2939,2939
1528747223,2911,2911
1528749030,2855,2855
1528751056,2811,2811
1528752969,2783,2783
1528754902,2790,2790
1528757112,2767,2767
1528758984,3573,3573
1528760893,3574,3574
1528762811,3582,3582
1528764759,3603,3603
1528766653,3624,3624
1528768569,3633,3633
1528770491,3631,3631
1528772413,3637,3637
1528774345,3639,3639
1528776305,3623,3623
1528778169,3605,3605
1528780105,3602,3602
1528782014,3576,3576
1528783937,3546,3546
1528785862,3558,3558
1528787766,3548,3548
1528789691,3548,3548
1528791615,3528,3528
1528793526,3497,3497
1528795450,3466,3466
1528797374,3462,3462
1528799288,1658,1658
1528801224,2516,2516
1528803138,2519,2519
1528805051,2495,2495
1528806969,2478,2478
1528808899,2463,2463
1528810808,2470,2470
1528812735,2477,2477
1528815396,2470,2470
1528817297,2464,2464
1528819230,2454,2454
1528821148,2471,2471
1528823064,2490,2490
1528824971,2482,2482
1528826911,2485,2485
1528828812,2487,2487
1528830741,2497,2497
1528832668,2502,2502
1528834577,2518,2518
1528836507,2543,2543
1528838419,2543,2543
1528840344,2519,2519
1528842259,2525,2525
1528844173,2538,2538
1528846104,3347,3347
1528848030,3313,3313
1528849949,3289,3289
1528851861,3262,3262
1528853774,3249,3249
1528855710,3257,3257
1528857615,3242,3242
1528859542,3228,3228
1528861466,3223,3223
1528863406,3213,3213
1528865540,3211,3211
1528867459,3207,3207
1528869391,3191,3191
1528871298,3192,3192
1528873230,3236,3236
1528875145,3250,3250
1528877054,3251,3251
1528878970,3273,3273
1528880906,3260,3260
1528882819,3252,3252
1528884738,1801,1801
1528886662,1779,1779
1528888582,2555,2555
1528890493,2578,2578
1528892430,2605,2605
1528894333,2599,2599
1528896254,2602,2602
1528898179,2603,2603
1528900092,2620,2620
1528902034,2651,2651
1528903941,2668,2668
1528905857,2689,2689
1528907782,2705,2705
1528909698,2690,2690
1528911619,2681,2681
1528913542,2695,2695
1528915463,2661,2661
1528917372,2637,2637
1528919325,2631,2631
1528921235,2809,2809
1528923140,2791,2791
1528925057,2771,2771
1528926987,2781,2781
1528928894,2767,2767
1528932043,2730,2730
1528933938,2706,2706
1528935857,2673,2673
1528937780,2643,2643
1528939698,3335,3335
1528941647,3339,3339
1528943549,3322,3322
1528945472,3313,3313
1528947378,3305,3305
1528949302,3308,3308
1528951264,3311,3311
1528953188,3311,3311
1528955098,3318,3318
1528957032,3325,3325
1528958937,3331,3331
1528960850,3319,3319
1528962783,3303,3303
1528964690,3299,3299
1528966609,3270,3270
1528968529,3249,3249
1528970476,3214,3214
1528972332,3194,3194
1528974297,3180,3180
1528976178,3152,3152
1528978108,1513,1513
1528980014,1505,1505
1528981933,2208,2208
1528983870,2203,2203
1528985787,2189,2189
1528987693,2191,2191
1528989617,2193,2193
1528991542,2187,2187
1528993458,2177,2177
1528995378,2166,2166
1528997298,2174,2174
1528999222,2168,2168
1529001145,2167,2167
1529003059,2159,2159
1529004973,2165,2165
1529517619,1862,1862
1529590827,2137,2137
1529592759,2151,2151
1529594657,2138,2138
1529596578,2117,2117
1529598492,2092,2092
1529600441,2082,2082
1529602353,2073,2073
1529604267,2075,2075
1529606194,2067,2067
1529608112,2035,2035
1529610024,2022,2022
1529611950,2027,2027
1529613870,2019,2019
1529615794,2010,2010
1529617700,2000,2000
1529619628,2004,2004
1529622281,2704,2704
1529624189,2693,2693
1529626108,2668,2668
1529628015,2635,2635
1529629945,2624,2624
1529631861,2621,2621
1529633789,2609,2609
1529635696,2601,2601
1529637622,2629,2629
1529639547,2601,2601
1529641459,2582,2582
1529643381,2564,2564
1529645294,2547,2547
1529647233,2548,2548
1529649149,2543,2543
1529651073,2512,2512
1529652970,2486,2486
1529654908,2468,2468
1529656812,2460,2460
1529658987,2455,2455
1529661140,2446,2446
1529663063,1111,1111
1529664972,1110,1110
1529666899,1718,1718
1529668859,1720,1720
1529670752,1716,1716
1529672659,1733,1733
1529674583,1741,1741
1529676525,1754,1754
1529678424,1768,1768
1529680353,1756,1756
1529682255,1734,1734
1529684186,1743,1743
1529686102,1734,1734
1529688017,1726,1726
1529689942,1725,1725
1529691857,1704,1704
1529693780,1701,1701
1529695695,1683,1683
1529697650,1661,1661
1529699544,1653,1653
1529701473,1650,1650
1529703374,1641,1641
1529705297,1634,1634
1529707826,1609,1609
1529709855,2175,2175
1529711775,2160,2160
1529713688,2148,2148
1529715627,2147,2147
1529717542,2143,2143
1529719465,2150,2150
1529721379,2150,2150
1529723296,2136,2136
1529725215,2116,2116
1529727146,2104,2104
1529729052,2096,2096
1529730993,2081,2081
1529732894,2079,2079
1529734840,2067,2067
1529736742,2070,2070
1529738652,2049,2049
1529740577,2031,2031
1529742489,2019,2019
1529744419,2014,2014
1529746342,2006,2006
1529748280,1095,1095
1529750178,1098,1098
1529752106,1533,1533
1529754014,1533,1533
1529755949,1533,1533
1529757853,1546,1546
1529759784,1543,1543
1529761699,1537,1537
1529763632,1531,1531
1529765538,1532,1532
1529767452,1521,1521
1529769377,1501,1501
1529771290,1487,1487
1529773224,1520,1520
1529775141,1502,1502
1529777071,1483,1483
1529778978,1460,1460
1529780909,1443,1443
1529782811,1430,1430
1529784744,1418,1418
1529786649,1394,1394
1529788582,1370,1370
1529790489,1349,1349
1529792407,1329,1329
1529795080,1722,1722
1529796977,1702,1702
1529798918,1684,1684
1529800815,1667,1667
1529802753,1637,1637
1529804657,1619,1619
1529806582,1603,1603
1529808497,1600,1600
1529810415,1584,1584
1529812337,1568,1568
1529814264,1554,1554
1529816175,1540,1540
1529818101,1539,1539
1529820035,1511,1511
1529821950,1511,1511
1529823867,1497,1497
1529825779,1472,1472
1529827698,1459,1459
1529829629,1438,1438
1529831538,1408,1408
1529833461,1387,1387
1529835381,345,345
1529837294,310,310
1529839213,783,783
1529841143,767,767
1529843060,749,749
1529844980,726,726
1529846894,699,699
1529848899,675,675
1529850744,661,661
1529852907,646,646
1529854825,619,619
1529856750,598,598
1529858664,585,585
1529860582,565,565
1529862493,552,552
1529864420,533,533
1529866334,507,507
1529868260,489,489
1529870178,467,467
1529872125,441,441
1529874043,411,411
1529875948,382,382
1529877866,352,352
1529880419,310,310
1529882415,783,783
1529884331,767,767
1529886505,746,746
1529888427,726,726
1529890337,699,699
1529892269,677,677
1529894180,661,661
1529896108,648,648
1529898020,621,621
1529899948,600,600
1529901860,587,587
1529903781,567,567
1529905698,554,554
1529907632,536,536
1529909539,511,511
1529911548,493,493
1529913374,471,471
1529915291,445,445
1529917231,418,418
1529919146,386,386
1529921060,5,5
