DateTime,AddedIPs,RemovedIPs
1529464503,263,47
1529465402,254,46
1529466303,183,34
1529467203,208,34
1529468103,193,33
1529469003,213,31
1529469903,207,25
1529470804,251,42
1529471703,193,42
1529472603,195,30
1529473504,188,33
1529474404,282,35
1529475303,168,26
1529476203,217,25
1529477103,208,48
1529478003,293,26
1529478903,188,21
1529479803,250,31
1529480703,217,33
1529481604,300,43
1529482504,187,30
1529483403,223,612
1529484303,183,450
1529485203,244,300
1529486103,242,378
1529487003,303,308
1529487904,290,178
1529488803,340,253
1529489703,192,199
1529490603,237,236
1529491503,242,225
1529492403,253,152
1529493304,326,267
1529494204,343,248
1529495104,298,220
1529496003,251,158
1529496904,325,256
1529497804,303,265
1529498704,279,402
1529499604,333,358
1529500504,393,343
1529501404,353,355
1529502304,327,330
1529503203,259,244
1529504104,408,597
1529505004,329,1770
1529505904,414,1006
1529506804,252,379
1529507704,380,463
1529508604,312,377
1529509504,273,1290
1529510404,316,648
1529511304,312,304
1529512204,395,1180
1529513105,336,1125
1529514004,400,967
1529514905,335,456
1529515806,339,324
1529516706,298,557
1529517605,292,270
1529518505,257,1064
1529519406,302,400
1529520306,211,129
1529521205,210,807
1529522107,266,336
1529523907,543,1126
1529524807,223,308
1529525706,203,21
1529526607,269,25
1529527507,277,37
1529528407,265,21
1529529306,293,21
1529530207,257,28
1529531106,291,20
1529532006,301,44
1529532906,327,26
1529533807,242,32
1529534706,335,41
1529536507,519,50
1529537407,235,25
1529538307,260,26
1529539206,255,246
1529540106,243,353
1529541007,243,202
1529541908,274,119
1529542808,295,201
1529543706,304,141
1529544607,295,241
1529545508,228,169
1529546407,286,179
1529547309,275,604
1529548207,226,2320
1529549107,215,1341
1529550008,203,265
1529550908,255,239
1529551808,345,213
1529552709,303,296
1529553607,325,314
1529554508,286,312
1529555408,329,273
1529556308,251,254
1529557210,245,364
1529558108,207,299
1529559008,278,268
1529559909,218,327
1529560808,196,421
1529561709,190,387
1529562608,220,441
1529563509,272,369
1529564409,250,325
1529565308,240,266
1529566208,332,183
1529567109,328,196
1529568008,951,164
1529568908,904,39
1529569808,1152,65
1529570707,812,58
1529571609,895,53
1529572508,832,49
1529573408,839,39
1529574308,853,47
