DateTime,Entries,UniqueIPs
1529464503,7394,7394
1529465402,7602,7602
1529466303,7751,7751
1529467203,7925,7925
1529468103,8085,8085
1529469003,8267,8267
1529469903,8449,8449
1529470804,8658,8658
1529471703,8809,8809
1529472603,8974,8974
1529473504,9129,9129
1529474404,9376,9376
1529475303,9518,9518
1529476203,9710,9710
1529477103,9870,9870
1529478003,10137,10137
1529478903,10304,10304
1529479803,10523,10523
1529480703,10707,10707
1529481604,10964,10964
1529482504,11121,11121
1529483403,10732,10732
1529484303,10465,10465
1529485203,10409,10409
1529486103,10273,10273
1529487003,10268,10268
1529487904,10380,10380
1529488803,10467,10467
1529489703,10460,10460
1529490603,10461,10461
1529491503,10478,10478
1529492403,10579,10579
1529493304,10638,10638
1529494204,10733,10733
1529495104,10811,10811
1529496003,10904,10904
1529496904,10973,10973
1529497804,11011,11011
1529498704,10888,10888
1529499604,10863,10863
1529500504,10913,10913
1529501404,10911,10911
1529502304,10908,10908
1529503203,10923,10923
1529504104,10734,10734
1529505004,9293,9293
1529505904,8701,8701
1529506804,8574,8574
1529507704,8491,8491
1529508604,8426,8426
1529509504,7409,7409
1529510404,7077,7077
1529511304,7085,7085
1529512204,6300,6300
1529513105,5511,5511
1529514004,4944,4944
1529514905,4823,4823
1529515806,4838,4838
1529516706,4579,4579
1529517605,4601,4601
1529518505,3794,3794
1529519406,3696,3696
1529520306,3778,3778
1529521205,3181,3181
1529522107,3111,3111
1529523907,2528,2528
1529524807,2443,2443
1529525706,2625,2625
1529526607,2869,2869
1529527507,3109,3109
1529528407,3353,3353
1529529306,3625,3625
1529530207,3854,3854
1529531106,4125,4125
1529532006,4382,4382
1529532906,4683,4683
1529533807,4893,4893
1529534706,5187,5187
1529536507,5656,5656
1529537407,5866,5866
1529538307,6100,6100
1529539206,6109,6109
1529540106,5999,5999
1529541007,6040,6040
1529541908,6195,6195
1529542808,6289,6289
1529543706,6452,6452
1529544607,6506,6506
1529545508,6565,6565
1529546407,6672,6672
1529547309,6343,6343
1529548207,4249,4249
1529549107,3123,3123
1529550008,3061,3061
1529550908,3077,3077
1529551808,3209,3209
1529552709,3216,3216
1529553607,3227,3227
1529554508,3201,3201
1529555408,3257,3257
1529556308,3254,3254
1529557210,3135,3135
1529558108,3043,3043
1529559008,3053,3053
1529559909,2944,2944
1529560808,2719,2719
1529561709,2522,2522
1529562608,2301,2301
1529563509,2204,2204
1529564409,2129,2129
1529565308,2103,2103
1529566208,2252,2252
1529567109,2384,2384
1529568008,3171,3171
1529568908,4036,4036
1529569808,5123,5123
1529570707,5877,5877
1529571609,6719,6719
1529572508,7502,7502
1529573408,8302,8302
1529574308,9108,9108
1529575209,9817,9817
1529576109,10445,10445
1529577009,11062,11062
1529577908,11717,11717
1529578809,12292,12292
1529579709,12820,12820
1529580609,13465,13465
1529581508,14069,14069
1529582409,14652,14652
1529583308,15263,15263
1529584208,15748,15748
1529585108,16258,16258
1529586008,16828,16828
1529586908,17412,17412
1529587808,17849,17849
1529588708,18261,18261
1529589608,18530,18530
1529590508,18679,18679
1529591408,18922,18922
1529592307,19652,19652
1529593206,20295,20295
1529594106,21151,21151
1529595007,21684,21684
1529595906,22214,22214
1529596808,22838,22838
1529597707,23420,23420
1529598606,23897,23897
1529599506,24442,24442
1529600406,25026,25026
1529601306,25622,25622
1529602206,26304,26304
1529603106,26881,26881
1529604006,27489,27489
1529604905,27935,27935
1529605804,28242,28242
1529606705,28538,28538
1529607604,28897,28897
1529608504,29007,29007
1529609404,29018,29018
1529610304,28513,28513
1529611204,28149,28149
1529612103,28286,28286
1529613004,28215,28215
1529613903,28144,28144
1529614803,28063,28063
1529615704,27879,27879
1529616604,27431,27431
1529617504,26824,26824
1529618404,26296,26296
1529619303,25684,25684
1529620203,25255,25255
1529622003,24352,24352
1529622904,24096,24096
1529623804,23934,23934
1529624703,23605,23605
1529625603,23320,23320
1529626503,23081,23081
1529627403,22978,22978
1529628303,22781,22781
1529629203,22617,22617
1529630104,22346,22346
1529631003,22025,22025
1529631903,21944,21944
1529632803,21874,21874
1529633703,21887,21887
1529634603,22150,22150
1529635503,22139,22139
1529636403,21939,21939
1529637303,21945,21945
1529638203,21882,21882
1529639103,22027,22027
1529640003,22086,22086
1529640904,22065,22065
1529641804,22133,22133
1529642704,22091,22091
1529643604,22080,22080
1529644503,22016,22016
1529645403,21792,21792
1529646303,21543,21543
1529647203,21330,21330
1529648103,21132,21132
1529649003,21006,21006
