DateTime,Entries,UniqueIPs
1527952236,1247,1247
1527952236,1247,1247
1527952236,1247,1247
1527957636,1257,1257
1527957636,1257,1257
1527957636,1257,1257
1527957636,1257,1257
1527957636,1257,1257
1527963035,1190,1190
1527963035,1190,1190
1527963035,1190,1190
1527963035,1190,1190
1527967836,1195,1195
1527967836,1195,1195
1527967836,1195,1195
1527971434,1215,1215
1527971434,1215,1215
1527971434,1215,1215
1527975037,1215,1215
1527975037,1215,1215
1527975037,1215,1215
1527975037,1215,1215
1527979236,1201,1201
1527979236,1201,1201
1527979236,1201,1201
1527979236,1201,1201
1527984636,1221,1221
1527984636,1221,1221
1527984636,1221,1221
1527988234,1199,1199
1527988234,1199,1199
1527988234,1199,1199
1527988234,1199,1199
1527988234,1199,1199
1527993636,1155,1155
1527993636,1155,1155
1527993636,1155,1155
1527993636,1155,1155
1527998436,1123,1123
1527998436,1123,1123
1527998436,1123,1123
1528002033,1143,1143
1528002033,1143,1143
1528006236,1167,1167
1528011037,1169,1169
1528015235,1193,1193
1528020037,1190,1190
1528023634,1187,1187
1528027836,1194,1194
1528033236,1210,1210
1528036834,1189,1189
1528041637,1167,1167
1528045234,1180,1180
1528048837,1209,1209
1528052434,1207,1207
1528059635,1243,1243
1528063235,1269,1269
1528067436,1243,1243
1528072236,1263,1263
1528075834,1256,1256
1528083034,1222,1222
1528086635,1198,1198
1528090234,1190,1190
1528093836,1226,1226
1528098037,1218,1218
1528101635,1195,1195
1528104636,1160,1160
1528108835,1168,1168
1528112434,1186,1186
1528117836,1149,1149
1528123236,1142,1142
1528126234,1154,1154
1528129836,1156,1156
1528133434,1189,1189
1528137639,1182,1182
1528143036,1192,1192
1528146634,1197,1197
1528150236,1190,1190
1528155637,1181,1181
1528161037,1176,1176
1528166437,1115,1115
1528171835,1101,1101
1528177837,1121,1121
1528182636,1101,1101
1528188036,1080,1080
1528192836,1159,1159
1528197037,1172,1172
1528200634,1100,1100
1528206036,1113,1113
1528211437,1107,1107
1528216837,1160,1160
1528222237,1162,1162
1528227037,1139,1139
1528230634,1167,1167
1528234236,1202,1202
1528238437,1184,1184
1528242034,1169,1169
1528246836,1160,1160
1528250433,1143,1143
1528254635,1081,1081
1528260037,1100,1100
1528265436,1089,1089
1528270836,1116,1116
1528275638,1074,1074
1528279836,1063,1063
1528285237,1046,1046
1528290036,1042,1042
1528294237,1044,1044
1528299636,1038,1038
1528304437,1067,1067
1528308034,1089,1089
1528308034,1089,1089
1528312237,1091,1091
1528315234,1078,1078
1528318837,1111,1111
1528323036,1115,1115
1528327836,1104,1104
1528332036,1093,1093
1528337436,1114,1114
1528342836,1040,1040
1528348236,1024,1024
1528353036,1048,1048
1528357236,1082,1082
1528363236,1067,1067
1528367440,1098,1098
1528371637,1102,1102
1528377036,1040,1040
1528382438,1001,1001
1528385435,1015,1015
1528389036,1048,1048
1528396234,1051,1051
1528403434,1094,1094
1528411234,1138,1138
1528414837,1127,1127
1528418434,1134,1134
1528422037,1136,1136
1528425635,1110,1110
1528431036,1051,1051
1528436438,1037,1037
1528441836,1013,1013
1528447238,1048,1048
1528452636,1036,1036
1528458636,1059,1059
1528462837,1039,1039
1528467036,1022,1022
1528470634,1046,1046
1528474237,1071,1071
1528477235,1113,1113
1528481436,1097,1097
1528486837,1110,1110
1528491637,1165,1165
1528495234,1197,1197
1528498837,1167,1167
1528502435,1157,1157
1528506637,1145,1145
1528512036,1058,1058
1528517436,1061,1061
1528522836,1065,1065
1528528236,1084,1084
1528533638,1054,1054
1528539636,1027,1027
1528545036,1035,1035
1528549837,1032,1032
1528555837,1008,1008
1528561237,988,988
1528566037,1028,1028
1528569634,1042,1042
1528575037,1033,1033
1528579837,1068,1068
1528587033,1044,1044
1528591236,1069,1069
1528597237,992,992
1528602036,955,955
1528606836,1035,1035
1528614634,994,994
1528617636,1013,1013
1528621837,967,967
1528627237,976,976
1528632637,1003,1003
1528638036,962,962
1528642837,935,935
1528646434,950,950
1528649437,987,987
1528654238,1001,1001
1528659037,1004,1004
1528663237,1022,1022
1528666834,1013,1013
1528672236,1036,1036
1528677636,1067,1067
