DateTime,AddedIPs,RemovedIPs
1527669634,2,0
1527675034,4,5
1527681035,1,3
1527686433,3,3
1527691234,2,2
1527696634,1,1
1527702034,3,1
1527707435,1,1
1527711032,1,6
1527716434,1,3
1527721834,2,0
1527727235,2,3
1527730832,2,0
1527736234,2,7
1527741634,2,6
1527747634,2,4
1527753034,1,0
1527757834,2,2
1527763234,5,4
1527768633,4,2
1527774035,2,6
1527779434,2,2
1527784236,0,2
1527788435,0,3
1527792635,3,2
1527797435,0,2
1527802838,4,0
1527808234,3,0
1527811832,1,4
1527817236,2,5
1527823236,2,3
1527828634,5,3
1527833434,4,2
1527838234,2,4
1527842436,5,6
1527847834,3,2
1527853834,2,1
1527858633,4,3
1527864034,2,2
1527869434,0,3
1527874235,4,6
1527879035,2,0
1527883234,2,3
1527886832,4,0
1527891034,2,3
1527894632,1,0
1527900035,2,2
1527905433,3,4
1527911433,3,2
1527916834,2,4
1527921633,3,0
1527926434,1,1
1527930031,1,1
1527934234,5,0
1527937832,3,3
1527943234,5,1
1527946832,1,1
1527952234,3,4
1527957634,2,0
1527963033,4,8
1527967834,0,2
1527971432,1,0
1527975034,0,3
1527979234,0,1
1527984634,4,4
1527988232,5,0
1527993634,0,5
1527998434,0,0
1528002031,3,7
1528006234,2,5
1528011034,1,0
1528015233,3,5
1528020035,0,3
1528023632,2,0
1528027834,3,2
1528033233,1,2
1528036832,4,0
1528041634,2,6
1528045232,2,0
1528048834,6,2
1528052432,4,2
1528059633,2,2
1528063233,1,3
1528067434,4,1
1528072233,1,1
1528075832,1,0
1528083032,2,7
1528086633,1,0
1528090232,2,2
1528093834,1,0
1528098034,3,5
1528104634,2,0
1528108833,3,7
1528112431,1,0
1528117834,3,3
1528123234,2,4
1528126232,1,0
1528129834,3,1
1528133432,3,0
1528137636,1,4
1528143034,2,5
1528146632,3,0
1528150234,3,0
1528155635,2,1
1528161034,6,5
1528166435,0,3
1528171833,2,1
1528177834,2,2
1528182634,5,4
1528188034,5,2
1528192834,1,4
1528197035,0,3
1528200632,2,0
1528206034,2,1
1528211434,1,1
1528216835,1,2
1528222234,3,2
1528227035,2,2
1528230632,5,0
1528234234,2,6
1528238434,4,5
1528242031,1,0
1528246834,6,2
1528250431,1,0
1528254633,2,5
1528260035,3,0
1528265434,2,5
1528270834,3,0
1528275636,2,4
1528279834,2,3
1528285234,1,1
1528290034,2,4
1528294235,3,4
1528299634,4,4
1528304435,2,2
1528308032,0,0
1528312234,2,2
1528315232,2,3
1528318835,2,3
1528323034,1,0
1528327834,2,2
1528332034,2,5
1528337434,1,1
1528342834,1,0
1528348234,2,4
1528353034,3,1
1528357234,3,3
1528363234,4,0
1528367435,5,1
1528371635,2,1
1528377034,0,3
1528382436,0,1
1528385432,1,0
1528389034,1,4
1528396232,2,4
1528403432,2,2
1528411232,2,5
1528414835,1,4
1528418431,3,0
1528422034,2,1
1528425632,1,3
1528431034,2,0
1528436435,1,4
1528441834,2,3
1528447236,1,2
1528452634,2,2
1528458634,2,4
1528462835,0,1
1528467034,0,3
1528474234,1,0
1528477232,2,1
1528481434,2,5
1528486835,1,1
1528491634,2,0
1528495231,3,2
1528498835,1,0
1528502432,2,3
1528506635,2,1
1528512034,4,4
1528517434,4,1
1528522834,3,4
1528528233,0,2
1528533636,3,1
1528539633,1,3
1528545034,4,3
1528549834,3,5
1528555834,3,2
1528561235,3,3
1528566035,2,4
1528575035,2,6
1528579835,0,2
1528587031,1,4
1528591234,0,4
1528597235,3,1
1528602034,2,2
1528614632,2,4
1528617634,3,0
1528621834,4,9
1528627235,2,0
1528632635,2,4
1528638034,1,3
1528642834,2,1
1528646432,2,2
1528649435,2,0
1528654235,5,4
1528659035,1,5
1528663235,1,0
1528666832,2,0
1528672234,1,6
1528677634,2,1
1528683034,4,2
1528689034,1,4
1528694435,1,2
1528699234,1,2
1528704635,4,3
1528709434,2,1
1528713032,1,0
1528716634,1,2
1528720834,0,1
1528724431,2,0
1528732232,2,0
1528739431,2,3
1528743634,3,5
1528750835,3,3
1528754432,1,1
1528762232,4,3
1528767034,4,3
1528770631,2,3
1528777232,0,2
1528784432,5,5
1528789234,1,6
1528794035,4,0
1528798235,1,4
1528803035,0,3
1528810235,0,3
1528813833,1,1
1528816834,1,0
1528820432,1,2
1528825235,4,1
1528828832,1,0
1528831834,0,3
1528836035,5,1
1528840835,0,4
1528844433,1,0
1528848034,2,1
1528851633,2,2
1528856434,1,4
1528860634,1,2
1528867834,1,0
1528871432,2,5
1528875034,3,3
1528878632,0,3
1528882234,2,0
1528885832,1,4
1528889434,1,2
1528896034,0,1
1528900235,1,3
1528903832,2,0
1528907435,2,0
1528914632,5,2
1528917635,2,1
1528921233,3,1
1528925434,0,1
1528929032,1,0
1528932634,2,3
1528940435,1,8
1528944033,1,0
1528949434,0,5
1528954234,1,2
1528962034,1,6
1528966835,1,0
1528969832,1,0
1528974035,4,3
1528977632,2,0
1528984832,1,4
1528987834,4,5
1528991433,1,0
1528995636,0,4
1528999232,1,0
1529002834,2,0
1529010035,0,1
1529014235,2,3
1529019633,1,3
1529024435,1,2
1529028634,1,2
1529032232,3,0
1529037035,1,0
1529040633,4,0
1529044234,2,2
1529047832,2,2
1529051434,4,4
1529055032,2,0
1529058635,0,2
1529061631,0,4
1529065234,1,0
1529068832,3,5
1529073036,2,3
1529079634,2,2
1529083835,0,2
1529087432,1,0
1529091035,5,1
1529094632,2,1
1529101832,0,3
1529105435,3,2
1529112638,0,5
1529119833,1,0
1529123435,0,2
1529130632,2,1
1529134835,0,3
1529139634,2,0
1529143232,1,2
1529146834,3,0
1529150432,2,3
1529154035,3,1
1529157633,3,0
1529161235,1,2
1529164832,2,3
1529168435,10,0
1529172033,4,5
1529176234,2,1
1529181634,2,1
1529186435,4,7
1529190033,1,0
1529193634,3,0
1529197232,3,2
1529201436,0,9
1529206234,3,0
1529209832,2,2
1529213434,2,0
1529217032,4,1
1529220634,3,0
1529224232,4,0
1529227834,4,3
1529230833,2,2
1529234435,1,0
1529238032,1,1
1529242235,0,2
1529245832,4,0
1529249434,3,2
1529252432,2,1
1529256635,3,3
1529263234,4,3
1529266833,1,0
1529270435,1,1
1529274032,1,5
1529277634,1,0
1529281834,0,5
1529285432,2,0
1529289034,2,0
1529292031,1,3
1529295634,2,0
1529299834,1,3
1529303431,4,0
1529306434,5,0
1529310031,1,0
1529313634,0,2
1529320832,1,3
1529328032,1,2
1529332235,4,2
1529335833,1,0
1529338835,2,1
1529343035,2,3
1529350834,2,3
1529355034,4,3
1529359234,2,0
1529362233,3,4
1529365834,3,6
1529370034,0,4
1529373632,2,0
1529377236,1,3
1529380233,1,3
1529394632,1,3
1529398235,2,2
1529402435,2,2
1529406035,2,0
1529409035,1,2
1529416232,2,1
1529419835,3,2
1529423433,2,0
1529427034,2,3
1529431235,1,7
1529438436,2,1
1529442033,1,0
1529445634,2,5
1529449232,2,2
1529452234,0,1
1529456435,5,1
1529460032,3,0
1529463034,4,1
1529467234,1,2
1529470832,2,0
1529473833,1,2
1529477432,3,0
1529481635,4,3
1529485232,4,0
1529488834,2,0
1529491832,1,4
1529496034,1,3
1529499632,3,0
1529503234,2,3
1529506832,1,4
1529509834,1,0
1529512832,3,2
1529517634,3,3
1529521232,2,0
1529524835,0,4
1529528433,2,0
1529532634,1,0
1529536834,2,0
1529540432,5,1
1529544035,3,0
1529551232,2,3
1529554834,1,0
1529562034,1,3
1529565634,1,0
1529572833,2,7
1529576435,2,0
1529580034,3,0
1529583634,1,2
1529587834,1,3
1529591432,3,0
1529595035,2,1
1529598032,2,3
1529602235,2,4
1529605833,1,0
1529609434,1,2
1529612432,3,2
1529616034,1,0
1529620234,1,5
1529623831,1,0
1529627434,1,4
1529631033,2,0
1529634633,1,0
1529638836,1,3
1529643634,1,2
1529647232,3,0
1529650835,1,2
1529654432,2,1
1529661633,0,9
1529668232,1,5
1529672434,0,5
1529676033,3,0
1529679035,1,0
1529682632,3,1
1529686835,3,3
1529690432,3,0
1529694035,2,3
1529697632,1,0
1529700634,2,5
1529704835,2,7
1529708432,3,0
1529715634,1,7
1529719232,4,0
1529722834,3,0
1529725831,1,3
1529729434,1,0
1529733031,3,2
1529736634,1,4
1529740232,0,3
1529744434,2,2
1529748032,1,0
1529755234,2,5
1529758832,2,0
1529762434,3,0
1529766032,2,6
1529769034,0,5
1529773235,5,4
1529776832,3,0
1529780435,4,2
1529783432,5,0
1529788235,2,7
1529793035,3,0
1529796632,2,0
1529799633,1,2
1529803232,2,2
1529807434,1,2
1529811032,1,0
1529814034,1,2
1529821231,3,5
1529829634,2,6
1529832631,1,0
1529835634,2,0
1529843432,0,7
1529847035,1,0
1529850633,4,1
1529854235,0,2
1529857231,1,0
1529865032,2,3
1529868035,1,3
1529871632,1,3
1529875234,1,2
1529879435,1,2
1529883634,1,1
1529887834,1,2
1529896835,1,1
1529901633,0,3
1529907034,4,1
1529911834,0,3
1529915431,2,0
1529918434,5,7
