DateTime,AddedIPs,RemovedIPs
1527802838,18,18
1527808234,23,22
1527811832,22,24
1527817236,19,18
1527823236,17,17
1527828634,23,23
1527833434,23,23
1527838234,20,20
1527842436,23,25
1527847834,21,17
1527853834,18,18
1527858633,21,22
1527864034,23,23
1527869434,22,24
1527874235,25,24
1527879035,17,19
1527883234,23,22
1527886832,25,24
1527891034,25,24
1527894632,21,24
1527900035,22,20
1527905433,21,22
1527911433,18,19
1527916834,18,15
1527921633,19,23
1527926434,24,21
1527930031,21,23
1527934234,24,21
1527937832,21,24
1527943234,20,17
1527946832,20,24
1527952234,21,16
1527957634,14,18
1527963033,19,15
1527967834,24,27
1527971432,22,22
1527975034,22,21
1527979234,24,23
1527984634,16,18
1527988232,23,23
1527993634,16,16
1527998434,18,17
1528002031,24,24
1528006234,23,23
1528011034,16,18
1528015233,24,22
1528020035,20,22
1528023632,23,21
1528027834,24,23
1528033233,19,22
1528036832,22,20
1528041634,22,23
1528045232,19,22
1528048834,26,20
1528052432,23,26
1528059633,21,19
1528063233,24,25
1528067434,22,22
1528072233,21,19
1528075832,20,26
1528083032,25,19
1528086633,24,26
1528090232,21,23
1528093834,20,22
1528098034,26,21
1528101632,25,25
1528104634,26,25
1528108833,18,22
1528112431,21,20
1528117834,17,15
1528123234,23,24
1528126232,18,22
1528129834,23,18
1528133432,20,23
1528137636,27,23
1528143034,23,25
1528146632,22,22
1528150234,25,23
1528155635,16,17
1528161034,23,22
1528166435,24,27
1528171833,20,19
1528177834,20,20
1528182634,24,22
1528188034,23,23
1528192834,24,26
1528197035,22,24
1528200632,26,22
1528206034,16,17
1528211434,23,24
1528216835,18,19
1528222234,18,17
1528227035,17,19
1528230632,26,22
1528234234,23,26
1528238434,23,22
1528242031,24,23
1528246834,22,22
1528250431,25,25
1528254633,25,26
1528260035,21,22
1528265434,22,20
1528270834,17,19
1528275636,24,22
1528279834,24,25
1528285234,18,17
1528290034,24,24
1528294235,24,25
1528299634,20,19
1528304435,24,23
1528308032,20,26
1528312234,25,21
1528315232,20,20
1528318835,23,23
1528323034,24,23
1528327834,21,22
1528332034,21,21
1528337434,21,22
1528342834,15,16
1528348234,17,16
1528353034,26,23
1528357234,23,24
1528363234,21,22
1528367435,22,21
1528371635,23,23
1528377034,19,23
1528382436,22,18
1528385432,25,24
1528389034,18,24
1528396232,22,18
1528403432,17,15
1528411232,23,25
1528414835,22,23
1528418431,22,22
1528422034,25,23
1528425632,24,25
1528431034,22,22
1528436435,21,20
1528441834,16,18
1528447236,24,24
1528452634,18,20
1528458634,23,19
1528462835,23,23
1528467034,21,22
1528470632,24,22
1528474234,23,26
1528477232,23,23
1528481434,24,23
1528486835,21,23
1528491634,24,20
1528495231,22,25
1528498835,25,23
1528502432,21,23
1528506635,22,23
1528512034,22,18
1528517434,24,25
1528522834,23,24
1528528233,17,18
1528533636,18,16
1528539633,19,21
1528545034,26,23
1528549834,21,23
1528555834,16,15
1528561235,18,19
1528566035,23,24
1528569632,21,19
1528575035,20,23
1528579835,14,18
1528587031,21,16
1528591234,23,22
1528597235,14,13
1528602034,21,23
1528606834,18,21
1528614632,23,19
1528617634,24,23
1528621834,24,25
1528627235,19,17
1528632635,13,13
1528638034,24,25
1528642834,21,22
1528646432,24,24
1528649435,23,24
1528654235,24,21
1528659035,16,20
1528663235,23,20
1528666832,24,24
1528672234,16,18
1528677634,16,14
1528683034,18,18
1528689034,19,18
1528694435,13,16
1528699234,16,20
1528704635,20,14
1528709434,18,20
1528713032,25,23
1528716634,21,23
1528720834,23,23
1528724431,25,22
1528729234,22,25
1528732232,22,22
1528739431,23,21
1528743634,20,21
1528747232,21,22
1528750835,21,21
1528754432,23,22
1528762232,23,22
1528767034,22,24
1528770631,21,23
1528774234,22,20
1528777232,22,21
1528784432,20,19
1528789234,21,21
1528794035,22,23
1528798235,21,21
1528803035,19,20
1528806632,20,22
1528810235,17,16
1528813833,22,20
1528816834,21,23
1528820432,24,22
1528825235,23,21
1528828832,18,22
1528831834,23,22
1528836035,23,20
1528840835,21,22
1528844433,21,22
1528848034,24,24
1528851633,22,24
1528856434,21,20
1528860634,21,21
1528864232,19,21
1528867834,22,18
1528871432,24,23
1528875034,22,24
1528878632,21,22
1528882234,23,21
1528885832,25,25
1528889434,22,25
1528893032,19,20
1528896034,23,20
1528900235,23,22
1528903832,24,23
1528907435,22,24
1528914632,21,20
1528917635,23,23
1528921233,22,23
1528925434,23,22
1528929032,22,23
1528932634,20,22
1528936232,21,18
1528940435,23,23
1528944033,22,24
1528949434,11,14
1528954234,24,18
1528957832,22,26
1528962034,24,21
1528966835,20,23
1528969832,25,22
1528974035,22,21
1528977632,23,24
1528984832,18,19
1528987834,23,24
1528991433,23,21
1528995636,20,25
1528999232,22,21
1529002834,20,17
1529006432,22,23
1529010035,20,21
1529014235,21,18
1529019633,14,17
1529024435,19,20
1529028634,19,16
1529032232,24,23
1529037035,22,22
1529040633,22,24
1529044234,23,23
1529047832,17,19
1529051434,22,19
1529055032,24,23
1529058635,21,23
1529061631,25,23
1529065234,24,24
1529068832,21,22
1529073036,19,20
1529076631,21,22
1529079634,24,20
1529083835,18,24
1529087432,25,19
1529091035,21,23
1529094632,23,22
1529101832,25,24
1529105435,23,25
1529108432,21,22
1529112638,16,16
1529119833,17,18
1529123435,20,21
1529130632,24,20
1529134835,21,22
1529139634,25,23
1529143232,19,23
1529146834,22,20
1529150432,24,23
1529154035,23,23
1529157633,23,23
1529161235,20,25
1529164832,23,19
1529168435,24,23
1529172033,24,26
1529176234,26,24
1529181634,22,21
1529186435,23,24
1529190033,23,23
1529193634,18,21
1529197232,25,21
1529201436,23,26
1529206234,21,19
1529209832,25,25
1529213434,23,24
1529217032,24,25
1529220634,22,21
1529224232,26,24
1529227834,21,23
1529230833,25,24
1529234435,22,23
1529238032,25,24
1529242235,21,22
1529245832,21,21
1529249434,22,21
1529252432,24,26
1529256635,23,22
1529260232,20,23
1529263234,23,21
1529266833,27,24
1529270435,22,26
1529274032,20,19
1529277634,24,23
1529281834,23,22
1529285432,25,24
1529289034,24,26
1529292031,23,22
1529295634,25,24
1529299834,23,25
1529303431,23,23
1529306434,26,24
1529310031,26,27
1529313634,24,25
1529320832,23,23
1529328032,18,20
1529332235,25,22
1529335833,21,22
1529338835,26,25
1529343035,22,24
1529346632,18,20
1529350834,24,21
1529355034,21,21
1529359234,19,18
1529362233,24,24
1529365834,21,24
1529370034,23,20
1529373632,26,26
1529377236,22,24
1529380233,25,23
1529383834,21,24
1529387433,24,22
1529394632,20,20
1529398235,20,23
1529402435,23,21
1529406035,26,24
1529409035,22,24
1529416232,19,21
1529419835,25,22
1529423433,24,24
1529427034,25,24
1529431235,22,22
1529434832,25,25
1529438436,25,25
1529442033,22,23
1529445634,26,24
1529449232,24,26
1529452234,21,23
1529456435,22,20
1529460032,24,24
1529463034,24,24
1529467234,24,22
1529470832,22,24
1529473833,23,24
1529477432,23,22
1529481635,22,22
1529485232,23,23
1529488834,20,22
1529491832,25,22
1529496034,22,22
1529499632,22,22
1529503234,19,23
1529506832,23,20
1529509834,24,23
1529512832,23,25
1529517634,21,19
1529521232,23,26
1529524835,23,21
1529528433,20,21
1529532634,24,23
1529536834,20,24
1529540432,23,17
1529544035,27,27
1529551232,22,23
1529554834,22,24
1529562034,19,18
1529565634,24,24
1529572833,20,21
1529576435,20,22
1529580034,21,18
1529583634,22,23
1529587834,17,18
1529591432,22,19
1529595035,24,23
1529598032,22,25
1529602235,20,21
1529605833,19,18
1529609434,22,22
1529612432,22,22
1529616034,24,23
1529620234,23,22
1529623831,23,25
1529627434,22,22
1529631033,22,20
1529634633,23,22
1529638836,24,26
1529643634,21,21
1529647232,25,23
1529650835,23,24
1529654432,19,23
1529658034,20,20
1529661633,22,20
1529665234,23,22
1529668232,23,24
1529672434,23,22
1529676033,26,24
1529679035,21,26
1529682632,22,21
1529686835,24,22
1529690432,23,23
1529694035,23,24
1529697632,24,24
1529700634,22,23
1529704835,26,22
1529708432,20,24
1529711433,23,21
1529715634,22,21
1529719232,24,26
1529722834,23,23
1529725831,26,24
1529729434,27,26
1529733031,25,27
1529736634,22,24
1529740232,24,22
1529744434,21,22
1529748032,24,24
1529751034,23,23
1529755234,25,23
1529758832,23,25
1529762434,26,24
1529766032,23,25
1529769034,16,19
1529773235,25,21
1529776832,25,25
1529780435,20,22
1529783432,22,20
1529788235,24,23
1529793035,15,16
1529796632,21,24
1529799633,21,22
1529803232,24,20
1529807434,18,20
1529811032,23,21
1529814034,23,24
1529821231,19,21
1529824833,24,20
1529829634,20,22
1529832631,23,23
1529835634,24,23
1529843432,18,18
1529847035,23,23
1529850633,23,23
1529854235,22,24
1529857231,23,22
1529865032,22,19
1529868035,20,25
1529871632,21,20
1529875234,25,23
1529879435,21,22
1529883634,19,19
1529887834,21,22
1529892634,20,19
1529896835,24,22
1529901633,19,22
1529907034,21,20
1529911834,22,23
1529915431,22,22
1529918434,27,23
