DateTime,AddedIPs,RemovedIPs
1528784643,0,1
1528785127,1,0
1528833622,0,1
1528834086,1,0
1528851846,6,13
1528852326,29,12
1528852810,8,11
1528853285,15,17
1528853765,8,11
1528854249,17,16
1528854725,10,11
1528855212,22,21
1528855691,15,14
1528856164,3,4
1528856644,3,1
1528857125,0,1
1528865526,0,1
1528866018,1,0
1528886164,0,1
1528886647,1,0
1528887128,0,1
1528887606,1,0
1528898645,1,0
1528899128,0,1
1528900086,1,0
1528906805,0,1
1528938246,1,9
1528938724,31,28
1528939207,15,13
1528939687,19,16
1528940164,11,9
1528940645,12,17
1528941127,8,9
1528941626,26,18
1528942086,8,6
1528942564,9,8
1528943044,1,0
1528976887,1,0
1529002088,0,1
1529013625,0,1
1529014087,1,0
1529024889,11,18
1529025368,10,9
1529025845,20,16
1529026327,19,12
1529026807,10,11
1529027291,13,11
1529027765,16,19
1529028248,12,15
1529028727,8,9
1529029208,1,0
1529061844,0,1
1529062325,1,0
1529111286,9,13
1529111764,17,18
1529112248,15,10
1529112725,13,14
1529113205,9,5
1529113687,8,11
1529114165,17,20
1529114645,3,0
1529115130,10,7
1529115605,2,2
1529116085,1,0
1529197446,6,11
1529197926,19,16
1529198405,13,12
1529198887,8,10
1529200569,38,31
1529201048,11,10
1529201529,7,4
1529202007,1,1
1529202487,0,1
1529212086,0,1
1529212570,1,1
1529213044,1,0
1529262011,0,1
1529262486,1,0
1529284088,14,27
1529284564,13,11
1529285044,18,21
1529285525,9,7
1529286007,13,18
1529286487,17,12
1529286965,15,13
1529287446,14,14
1529287930,9,5
1529288405,4,1
1529362564,0,1
1529363045,1,0
1529370247,1,9
1529370726,12,10
1529371208,6,7
1529371685,10,14
1529372164,7,10
1529372645,11,7
1529373126,8,7
1529373615,6,7
1529374086,8,8
1529374569,8,7
1529375045,7,10
1529375527,7,10
1529376009,8,8
1529376487,9,7
1529377228,6,6
1529377685,6,4
1529378164,4,5
1529378645,6,11
1529379129,12,7
1529379604,4,8
1529380085,13,10
1529380565,7,7
1529381050,7,4
1529381533,6,8
1529382006,6,6
1529382486,6,4
1529382965,4,6
1529383445,7,5
1529383927,6,6
1529384409,8,7
1529384887,7,9
1529385366,8,8
1529385846,11,19
1529386326,6,5
1529386808,5,5
1529387288,5,9
1529387765,15,16
1529388247,8,10
1529388728,6,5
1529389206,6,6
1529389688,6,9
1529390164,9,4
1529390646,7,5
1529391125,5,6
1529391607,6,6
1529392085,6,9
1529392565,9,7
1529393049,7,10
1529393529,9,5
1529394005,7,6
1529394487,3,5
1529394965,5,5
1529395448,14,7
1529395926,4,8
1529396406,6,6
1529396888,4,4
1529397364,3,2
1529397848,1,0
1529457128,5,14
1529457605,13,11
1529458084,9,6
1529458566,10,12
1529459047,11,7
1529459525,7,13
1529460013,11,11
1529460487,9,9
1529460964,8,7
1529461444,9,9
1529461926,11,9
1529462406,6,4
1529463133,7,10
1529463606,8,7
1529464086,8,5
1529464567,4,7
1529465045,7,4
1529465525,6,7
1529466008,5,6
1529466485,9,8
1529466964,7,7
1529467446,5,4
1529467925,5,7
1529468408,5,8
1529468890,8,6
1529469364,8,10
1529469845,7,6
1529470325,7,4
1529470808,5,6
1529471286,8,8
1529471766,8,15
1529472244,8,9
1529472728,12,12
1529473204,8,5
1529473685,6,8
1529474164,14,11
1529474644,3,5
1529475126,4,8
1529475605,8,10
1529476329,9,7
1529476805,6,6
1529477285,7,11
1529477767,10,7
1529478245,9,10
1529478724,8,4
1529479206,3,5
1529479689,7,8
1529480164,5,4
1529480647,8,6
1529481126,10,3
1529481619,5,11
1529482089,13,8
1529482565,7,5
1529483044,4,4
1529483529,4,4
1529484005,2,0
1529510414,0,1
1529510891,1,0
1529543285,4,8
1529543765,10,11
1529544248,13,11
1529544730,6,10
1529545205,8,9
1529545686,13,12
1529546166,10,6
1529546651,5,5
1529547125,6,10
1529547610,11,7
1529548088,8,9
1529548566,10,10
1529549050,12,10
1529549525,8,7
1529550018,7,5
1529550492,6,7
1529550969,8,7
1529551446,7,7
1529551927,9,7
