DateTime,Entries,UniqueIPs
1528784643,4988,4988
1528785127,4989,4989
1528833622,4988,4988
1528834086,4989,4989
1528851846,4982,4982
1528852326,4999,4999
1528852810,4996,4996
1528853285,4994,4994
1528853765,4991,4991
1528854249,4992,4992
1528854725,4991,4991
1528855212,4992,4992
1528855691,4993,4993
1528856164,4992,4992
1528856644,4994,4994
1528857125,4993,4993
1528865526,4992,4992
1528866018,4993,4993
1528886164,4992,4992
1528886647,4993,4993
1528887128,4992,4992
1528887606,4993,4993
1528898645,4994,4994
1528899128,4993,4993
1528900086,4994,4994
1528906805,4993,4993
1528938246,4985,4985
1528938724,4988,4988
1528939207,4990,4990
1528939687,4993,4993
1528940164,4995,4995
1528940645,4990,4990
1528941127,4989,4989
1528941626,4997,4997
1528942086,4999,4999
1528942564,5000,5000
1528943044,5001,5001
1528976887,5002,5002
1529002088,5001,5001
1529013625,5000,5000
1529014087,5001,5001
1529024889,4994,4994
1529025368,4995,4995
1529025845,4999,4999
1529026327,5006,5006
1529026807,5005,5005
1529027291,5007,5007
1529027765,5004,5004
1529028248,5001,5001
1529028727,5000,5000
1529029208,5001,5001
1529061844,5000,5000
1529062325,5001,5001
1529111286,4997,4997
1529111764,4996,4996
1529112248,5001,5001
1529112725,5000,5000
1529113205,5004,5004
1529113687,5001,5001
1529114165,4998,4998
1529114645,5001,5001
1529115130,5004,5004
1529115605,5004,5004
1529116085,5005,5005
1529197446,5000,5000
1529197926,5003,5003
1529198405,5004,5004
1529198887,5002,5002
1529200569,5009,5009
1529201048,5010,5010
1529201529,5013,5013
1529202007,5013,5013
1529202487,5012,5012
1529212086,5011,5011
1529212570,5011,5011
1529213044,5012,5012
1529262011,5011,5011
1529262486,5012,5012
1529284088,4999,4999
1529284564,5001,5001
1529285044,4998,4998
1529285525,5000,5000
1529286007,4995,4995
1529286487,5000,5000
1529286965,5002,5002
1529287446,5002,5002
1529287930,5006,5006
1529288405,5009,5009
1529362564,5008,5008
1529363045,5009,5009
1529370247,5001,5001
1529370726,5003,5003
1529371208,5002,5002
1529371685,4998,4998
1529372164,4995,4995
1529372645,4999,4999
1529373126,5000,5000
1529373615,4999,4999
1529374086,4999,4999
