DateTime,AddedIPs,RemovedIPs
1529485322,5,12
1529486522,11,14
1529487722,12,0
1529488923,6,11
1529490122,8,0
1529491321,5,1
1529491922,10,0
1529492522,16,0
1529493722,0,21
1529494321,6,0
1529494921,2,0
1529496122,5,0
1529497322,0,10
1529498521,22,4
1529499722,37,1
1529500322,9,0
1529500922,3,0
1529502121,3,1
1529503322,14,0
1529504522,8,23
1529505722,4,25
1529506921,1,0
1529507523,1,1
1529508122,2,0
1529509322,19,2
1529509921,38,2
1529510522,19,33
1529511721,6,0
1529512322,2,1
1529512922,2,4
1529514121,10,0
1529515322,3,2
1529515921,2,5
1529516521,5,0
1529517122,8,10
1529517721,3,0
1529518322,9,0
1529518922,3,5
1529519522,15,0
1529520122,5,0
1529521321,14,11
1529522522,3,1
1529523722,6,4
1529524321,2,0
1529524922,3,0
1529525522,3,0
1529526122,1,0
1529526722,5,3
1529527322,7,8
1529528522,7,1
1529529121,3,0
1529529721,7,0
1529530322,6,1
1529530922,17,8
1529531522,5,0
1529532122,0,1
1529533322,2,1
1529534522,1,0
1529536322,8,4
1529536922,2,0
1529538122,9,2
1529538722,7,4
1529539322,5,0
1529540522,8,0
1529541721,5,10
1529542322,4,0
1529542921,2,0
1529544123,5,11
1529544721,2,0
1529546522,0,4
1529547722,4,0
1529548921,12,7
1529550721,6,0
1529551322,4,2
1529551921,1,0
1529552522,1,0
1529553122,0,9
1529553722,2,12
1529554321,3,4
1529554923,1,12
1529555521,24,0
1529556122,14,0
1529556722,16,10
1529557322,3,20
1529557922,2,0
1529559121,0,14
1529559721,6,2
1529560923,2,3
1529562122,3,0
1529563322,0,4
1529564522,8,1
1529565721,4,0
1529566922,1,3
1529568122,20,6
1529568721,6,0
1529569321,3,1
1529570522,1,3
1529571122,1,0
1529572922,5,31
1529574121,6,0
1529574722,8,11
1529575322,7,0
1529576522,4,19
1529577722,2,7
1529578922,2,7
1529579522,2,0
1529580122,6,0
1529581321,15,2
1529582521,10,5
1529583721,3,0
1529584321,7,4
1529584922,3,23
1529586122,7,4
1529586722,7,3
1529587321,11,5
1529587922,3,0
1529588522,1,3
1529589121,6,0
1529589721,3,3
1529590322,11,0
1529590922,2,10
1529591521,11,0
1529592121,1,0
1529593322,7,3
1529594522,0,5
1529595121,0,1
1529595721,5,4
1529596922,11,8
1529598122,18,44
1529598722,2,10
1529599321,17,0
1529599922,9,0
1529600521,2,1
1529601121,7,0
1529601722,3,5
1529602322,5,1
1529602921,3,0
1529604122,5,7
1529605321,6,18
1529605922,4,16
1529606522,15,0
1529607122,2,0
1529607721,4,3
1529608922,7,2
1529610122,2,0
1529611323,3,18
1529611921,3,0
1529612521,3,7
1529613122,0,4
1529613722,19,1
1529614922,7,19
1529615521,6,3
1529616722,6,4
1529617323,8,9
1529618522,5,0
1529619721,3,11
1529622122,8,6
1529622722,3,0
1529623322,2,8
1529623921,5,2
1529624522,1,0
1529625121,4,4
1529625722,20,0
1529626321,8,1
1529626922,18,0
1529628122,5,0
1529629322,4,32
1529630523,3,0
1529631722,0,4
1529632922,1,1
1529634121,7,2
1529634722,4,0
1529635322,31,0
1529636522,9,7
1529637721,6,26
1529638922,1,4
1529639522,7,7
1529640122,3,0
1529641321,6,4
1529641921,5,14
1529642523,9,0
1529643722,5,18
1529644322,12,0
1529644922,8,3
1529646122,2,1
1529647321,2,10
1529647922,5,0
1529648522,2,4
1529649721,2,0
1529650322,17,2
1529651522,20,2
1529652122,3,0
1529653921,6,0
1529654522,1,22
1529655722,2,9
1529656321,1,2
1529656921,7,0
1529657521,5,0
1529658122,4,7
1529658721,1,0
1529659322,3,3
1529659921,5,0
1529660521,7,0
1529661121,19,2
1529661723,6,0
1529662921,1,3
1529665322,1,0
1529666522,1,13
1529667122,3,0
1529667722,1,25
1529668922,1,5
1529670122,2,0
1529671321,0,4
1529672521,15,11
1529673722,5,10
1529674922,7,5
1529676122,10,56
1529676722,6,2
1529677322,1,0
1529678521,4,12
1529679121,15,0
1529679721,11,0
1529680322,2,0
1529680922,39,0
1529682121,1,4
1529683322,1,0
1529684522,7,9
1529685722,9,2
1529686322,4,12
1529686921,7,0
1529688121,2,22
1529689321,1,3
1529690522,7,0
1529691721,12,12
1529692321,4,0
1529692921,15,2
1529694121,0,22
1529695322,2,2
1529695922,1,2
1529696521,6,0
1529697722,0,6
1529698323,6,0
1529698922,6,4
1529700122,11,27
1529701321,15,11
1529701922,1,5
1529702522,0,2
1529703122,3,13
1529703721,2,0
1529704321,0,18
1529704921,3,0
1529705522,0,32
1529706122,3,1
1529708521,1,0
1529709722,23,3
1529710922,3,1
1529712122,0,17
1529713922,5,1
1529714521,8,37
1529715721,15,4
1529716923,2,0
1529718122,40,0
1529719321,11,1
1529719922,2,7
1529720522,6,8
1529721122,9,4
1529721723,1,50
1529722922,2,0
1529723521,10,2
1529724122,3,0
1529724722,3,1
1529725321,3,6
1529726522,2,26
1529727122,18,0
1529727723,1,0
1529728321,18,22
1529728922,1,30
1529730122,3,8
1529730722,6,0
1529731321,2,1
1529731922,5,0
1529732521,2,0
1529733721,26,1
1529734322,13,16
1529734921,0,1
1529735521,12,0
1529736122,2,2
1529736722,1,0
1529737321,0,5
1529737922,19,2
1529738522,1,0
1529739721,7,7
1529740922,5,13
1529742121,2,10
1529743322,11,4
1529743922,1,9
1529745123,3,3
1529745721,1,3
1529746922,2,8
1529747522,4,0
1529748122,1,5
1529749322,5,0
1529750522,1,3
1529751122,4,0
1529751721,4,1
