DateTime,Entries,UniqueIPs
1529485322,1378,1406
1529486522,1374,1403
1529487722,1386,1415
1529488923,1381,1410
1529490122,1389,1418
1529491321,1393,1422
1529491922,1403,1432
1529492522,1417,1448
1529493722,1396,1427
1529494321,1401,1433
1529494921,1403,1435
1529496122,1408,1440
1529497322,1398,1430
1529498521,1416,1448
1529499722,1452,1484
1529500322,1461,1493
1529500922,1464,1496
1529502121,1466,1498
1529503322,1479,1512
1529504522,1465,1497
1529505722,1446,1476
1529506921,1447,1477
1529507523,1447,1477
1529508122,1449,1479
1529509322,1466,1496
1529509921,1499,1532
1529510522,1485,1518
1529511721,1491,1524
1529512322,1492,1525
1529512922,1490,1523
1529514121,1500,1533
1529515322,1501,1534
1529515921,1498,1531
1529516521,1503,1536
1529517122,1502,1534
1529517721,1505,1537
1529518322,1514,1546
1529518922,1512,1544
1529519522,1525,1559
1529520122,1529,1564
1529521321,1531,1567
1529522522,1533,1569
1529523722,1536,1571
1529524321,1538,1573
1529524922,1540,1576
1529525522,1543,1579
1529526122,1544,1580
1529526722,1546,1582
1529527322,1545,1581
1529528522,1551,1587
1529529121,1554,1590
1529529721,1561,1597
1529530322,1566,1602
1529530922,1575,1611
1529531522,1580,1616
1529532122,1579,1615
1529533322,1580,1616
1529534522,1581,1617
1529536322,1585,1621
1529536922,1587,1623
1529538122,1594,1630
1529538722,1597,1633
1529539322,1602,1638
1529540522,1609,1646
1529541721,1604,1641
1529542322,1608,1645
1529542921,1610,1647
1529544123,1604,1641
1529544721,1606,1643
1529546522,1602,1639
1529547722,1605,1643
1529548921,1610,1648
1529550721,1616,1654
1529551322,1618,1656
1529551921,1619,1657
1529552522,1620,1658
1529553122,1611,1649
1529553722,1602,1639
1529554321,1601,1638
1529554923,1590,1627
1529555521,1614,1651
1529556122,1628,1665
1529556722,1635,1671
1529557322,1618,1654
1529557922,1620,1656
1529559121,1606,1642
1529559721,1609,1646
1529560923,1608,1645
1529562122,1611,1648
1529563322,1607,1644
1529564522,1614,1651
1529565721,1618,1655
1529566922,1616,1653
1529568122,1629,1667
1529568721,1635,1673
1529569321,1637,1675
1529570522,1635,1673
1529571122,1636,1674
1529572922,1611,1648
1529574121,1617,1654
1529574722,1614,1651
1529575322,1619,1658
1529576522,1604,1643
1529577722,1598,1638
1529578922,1593,1633
1529579522,1595,1635
1529580122,1601,1641
1529581321,1614,1654
1529582521,1619,1659
1529583721,1622,1662
1529584321,1625,1665
1529584922,1605,1645
1529586122,1608,1648
1529586722,1612,1652
1529587321,1618,1658
1529587922,1621,1661
1529588522,1620,1659
1529589121,1626,1665
1529589721,1626,1665
1529590322,1637,1676
1529590922,1630,1668
1529591521,1640,1679
1529592121,1641,1680
1529593322,1645,1684
1529594522,1640,1679
1529595121,1639,1678
1529595721,1640,1679
1529596922,1643,1682
1529598122,1618,1656
1529598722,1610,1648
1529599321,1624,1665
1529599922,1633,1674
1529600521,1634,1675
1529601121,1638,1682
1529601722,1636,1680
1529602322,1640,1684
1529602921,1643,1687
1529604122,1641,1685
1529605321,1629,1673
1529605922,1617,1661
1529606522,1631,1676
1529607122,1633,1678
1529607721,1635,1679
1529608922,1641,1684
1529610122,1643,1686
1529611323,1633,1671
1529611921,1636,1674
1529612521,1632,1670
1529613122,1628,1666
1529613722,1644,1684
1529614922,1631,1672
1529615521,1634,1675
1529616722,1637,1677
1529617323,1636,1676
1529618522,1641,1681
1529619721,1633,1673
1529622122,1635,1675
1529622722,1638,1678
1529623322,1631,1672
1529623921,1634,1675
1529624522,1635,1676
1529625121,1635,1676
1529625722,1655,1696
1529626321,1662,1703
1529626922,1679,1721
1529628122,1684,1726
1529629322,1656,1698
1529630523,1658,1701
1529631722,1654,1697
1529632922,1654,1697
1529634121,1659,1702
1529634722,1663,1706
1529635322,1693,1737
1529636522,1695,1739
1529637721,1675,1719
1529638922,1672,1716
1529639522,1672,1716
1529640122,1675,1719
1529641321,1677,1721
1529641921,1668,1712
1529642523,1677,1721
1529643722,1664,1708
1529644322,1676,1720
1529644922,1680,1725
1529646122,1682,1726
1529647321,1674,1718
1529647922,1679,1723
1529648522,1678,1721
1529649721,1680,1723
1529650322,1693,1738
1529651522,1711,1756
1529652122,1714,1759
1529653921,1720,1765
1529654522,1699,1744
1529655722,1692,1737
1529656321,1691,1736
1529656921,1697,1743
1529657521,1702,1748
1529658122,1699,1745
1529658721,1700,1746
1529659322,1700,1746
1529659921,1705,1751
1529660521,1712,1758
1529661121,1729,1775
1529661723,1735,1781
1529662921,1733,1779
