DateTime,AddedIPs,RemovedIPs
1529417522,1,5
1529418122,0,1
1529418721,10,0
1529419323,6,0
1529420522,0,1
1529421722,7,16
1529422922,1,5
1529424122,1,0
1529425322,0,12
1529426521,7,1
1529427121,3,1
1529427721,4,1
1529428922,7,5
1529430122,1,2
1529430722,1,0
1529431322,1,0
1529432522,0,8
1529433722,8,2
1529434921,6,4
1529435522,0,2
1529436122,7,2
1529436722,9,0
1529438521,3,1
1529439721,0,4
1529440922,4,4
1529442121,5,2
1529442722,1,1
1529443321,0,11
1529443922,2,0
1529445121,1,0
1529445722,4,5
1529448722,0,6
1529449322,2,0
1529449922,3,0
1529450522,4,0
1529451721,8,0
1529452322,1,0
1529452922,2,0
1529453522,5,0
1529455322,0,11
1529456521,1,1
1529457123,0,1
1529457722,5,0
1529458322,4,4
1529458921,0,1
1529460122,2,4
1529461321,1,1
1529462522,0,9
1529463123,2,0
1529463721,0,1
1529466122,1,5
1529467321,1,0
1529468523,0,7
1529469721,4,2
1529470921,3,4
1529471521,1,0
1529472122,1,0
1529473321,1,2
1529473922,0,3
1529475722,4,4
1529476922,0,3
1529478121,0,3
1529479321,2,5
1529481121,0,6
1529482321,5,7
1529482921,5,3
1529484122,1,0
1529485322,5,1
1529486522,0,2
1529487722,1,0
1529488923,2,10
1529489522,4,0
1529491321,2,2
1529492522,3,0
1529493722,1,3
1529494921,3,9
1529497322,0,6
1529497923,3,0
1529498521,1,0
1529499122,1,5
1529500322,2,4
1529500922,1,0
1529501522,1,2
1529502121,1,0
1529502721,1,2
1529503322,1,0
1529505721,11,10
1529506321,1,0
1529506921,1,0
1529507523,0,9
1529508122,3,0
1529508722,5,2
1529509322,1,0
1529510521,6,6
1529511721,1,0
1529512922,2,4
1529513521,2,0
1529514121,7,4
1529515322,5,2
1529515921,4,2
1529517721,1,12
1529518922,1,4
1529519522,1,0
1529521321,10,6
1529522522,0,4
1529523722,11,11
1529524321,1,2
1529525522,5,0
1529526122,1,0
1529527322,0,6
1529528522,4,0
1529529121,2,0
1529529721,1,0
1529530921,0,3
1529532122,11,4
1529533321,5,0
1529534522,2,0
1529535122,1,0
1529536322,3,8
1529536922,7,0
1529538122,12,12
1529539322,3,5
1529539922,1,4
1529540522,3,0
1529541121,1,2
1529541721,1,3
1529542322,1,0
1529542921,1,0
1529543522,3,1
1529544122,0,8
1529544721,7,1
1529545322,1,0
1529546522,2,3
1529547121,2,0
1529549522,4,0
1529550122,5,0
1529550721,9,0
1529551322,1,0
1529552522,1,0
1529553121,3,0
1529554923,1,0
1529556122,9,5
1529557322,2,2
1529557921,0,1
1529558522,1,0
1529559721,0,1
1529560923,5,2
1529562122,16,0
1529563322,2,1
1529564522,1,1
1529565122,1,0
1529565721,2,0
1529566922,3,0
1529567521,3,0
1529568122,2,4
1529569321,2,4
1529569921,1,0
1529570522,0,3
1529572922,0,2
1529574121,3,1
1529575322,3,1
1529575921,1,2
1529576522,5,0
1529577722,0,2
1529578922,3,0
1529580122,1,1
1529581321,1,0
1529581922,2,0
1529583721,5,0
1529584922,4,4
1529586122,5,0
1529588522,1,0
1529589721,1,4
1529590922,1,11
1529592121,1,0
1529593322,2,6
1529594522,1,5
1529595121,1,7
1529595721,1,12
1529596922,6,0
1529598122,5,3
1529598722,0,3
1529599321,0,5
1529600521,1,5
1529601121,3,0
1529601722,1,4
1529602321,0,2
1529604122,2,0
1529604722,3,0
1529605922,0,3
1529606522,6,5
1529607122,1,0
1529607721,0,1
1529608922,0,8
1529610122,2,0
1529611323,5,10
1529611921,6,0
1529612521,2,3
1529613122,2,0
1529613722,0,4
1529614322,1,0
1529614922,2,1
1529615521,0,1
1529616722,0,3
1529617323,0,14
1529618522,5,0
1529619721,2,1
1529622122,13,2
1529622722,1,0
1529623322,1,4
1529623921,1,9
1529624522,0,3
1529625121,1,0
1529625722,4,0
1529626321,4,4
1529626921,3,1
1529628122,1,2
1529629322,0,3
1529629922,1,0
1529630523,0,3
1529631722,2,13
1529632922,5,0
1529633522,2,0
1529634121,0,2
1529635321,3,0
1529636522,1,6
1529637123,1,5
1529637721,4,1
1529638922,3,2
1529640122,1,1
1529641321,0,7
1529643122,6,0
1529646122,5,1
1529646721,1,5
1529647321,0,5
1529648522,1,3
1529649721,6,0
1529650321,1,1
1529651522,0,13
1529653322,0,3
1529654522,1,9
1529655722,9,0
1529656921,1,0
1529658122,1,4
1529659322,0,5
1529660521,0,1
1529661722,8,0
1529662921,8,7
1529665322,9,3
1529666522,0,7
1529668922,4,6
1529670122,4,2
1529670722,1,0
1529671321,4,9
1529672521,1,0
1529673722,1,2
1529674922,4,0
1529676122,2,3
1529676722,2,0
1529678521,5,1
1529679721,1,0
1529680921,3,6
1529682722,1,3
1529683322,1,0
1529684522,5,0
1529685722,2,1
1529686322,0,1
1529688121,0,4
1529689321,1,1
1529690522,6,2
1529691721,3,4
1529692921,5,2
1529694721,0,2
1529695922,0,3
1529696521,1,0
1529697122,0,5
1529697722,0,2
1529698921,3,3
1529699522,2,0
1529700122,1,0
1529701321,2,0
1529701922,2,0
1529702522,1,0
1529703122,0,1
1529703721,0,1
1529704921,0,2
1529705522,0,1
1529706121,0,16
1529707922,4,0
1529709722,4,1
1529710922,2,6
1529712122,3,10
1529713322,4,0
1529714521,2,9
1529715721,0,1
1529716323,3,0
1529716923,2,2
1529718121,9,0
1529719321,1,0
1529719922,2,3
1529720522,1,0
1529721122,4,5
1529721723,3,0
1529722322,7,0
1529722922,8,0
1529723521,2,1
1529724122,1,0
1529724722,0,3
1529726522,2,0
1529727723,3,0
1529728321,7,0
1529728922,1,2
1529730122,0,1
1529730722,0,1
1529731321,3,6
1529731921,1,0
1529732521,1,0
1529733721,1,0
1529734921,15,10
1529736122,0,1
1529737321,1,0
1529739721,2,1
1529740322,3,1
1529740922,4,0
1529741522,1,4
1529742121,2,1
1529743922,3,1
1529745721,5,1
1529746922,2,2
1529748122,6,12
1529749322,2,0
1529750522,0,7
1529751721,4,3
1529754121,1,5
1529755922,0,6
1529756521,4,0
1529757721,3,4
1529758322,1,0
1529758921,3,0
1529759522,0,2
1529760122,0,2
1529761321,1,0
1529761922,0,2
1529762523,3,0
1529763721,3,3
1529764322,3,0
1529766122,0,3
1529766722,3,5
1529767322,0,2
1529768521,1,0
1529769722,13,1
1529770322,7,0
1529771521,4,1
1529772121,1,0
1529773321,1,1
1529773921,5,0
1529775722,1,2
1529776922,11,5
1529778122,2,0
1529779322,8,3
1529780521,3,0
1529781722,6,1
1529782921,4,0
1529784122,2,1
1529785321,11,2
1529786522,3,1
1529787722,3,3
1529788922,2,2
1529790121,1,0
1529791322,0,1
1529792521,4,0
1529794921,16,11
1529795522,1,0
1529796121,1,0
1529797322,2,7
1529798522,3,12
1529800921,8,0
1529801522,14,0
1529802121,2,1
1529802722,0,4
1529803322,2,0
1529804521,1,7
1529806323,2,1
1529806922,4,6
1529807522,6,4
1529808722,1,8
1529809321,1,3
1529810522,3,0
1529812322,1,8
1529813521,0,3
1529814122,0,7
1529815321,1,1
1529816522,2,0
1529817721,0,1
1529818322,1,5
1529818922,9,2
1529820122,1,18
1529820722,1,0
1529821921,1,0
1529824922,0,1
1529826122,4,1
1529826722,6,9
1529827922,1,0
1529828522,1,1
1529829122,1,0
1529829721,1,0
1529830922,1,5
1529832122,5,5
1529832722,0,5
1529833322,0,5
1529835121,0,2
1529835721,0,1
1529836922,2,0
1529838121,0,4
1529839322,3,1
1529842921,3,1
1529844121,1,0
1529844722,4,0
1529845321,8,3
1529846522,2,1
1529847121,0,1
1529847722,0,1
1529848922,0,1
1529850122,2,0
1529851322,4,2
1529852521,9,4
1529853122,2,2
1529853722,1,0
1529854922,0,10
1529856122,1,0
1529856722,2,7
1529857322,4,3
1529858522,3,6
1529859122,2,0
1529859722,1,0
1529860922,0,9
1529862121,0,3
1529863322,2,0
1529863921,1,2
1529864522,0,9
1529865724,2,0
1529866922,3,8
1529868121,4,5
1529869322,3,2
1529870522,3,0
1529871722,14,11
1529872922,1,3
1529874122,7,0
1529874722,1,0
1529875322,1,0
1529876521,3,4
1529877722,5,2
1529878922,1,0
1529880721,10,9
1529881322,1,0
1529882522,0,6
1529884922,1,7
1529885522,2,1
1529886121,0,6
1529888521,0,15
1529889122,2,0
1529889721,0,2
1529890323,3,0
1529890921,6,0
1529891522,1,0
1529892121,1,1
1529892722,1,7
1529893321,3,5
1529893923,1,2
1529895723,3,2
1529896321,3,5
1529896922,4,0
1529897522,3,0
1529898122,5,0
1529899321,1,0
1529900522,0,1
1529901722,1,0
1529902321,2,0
1529902922,4,1
1529903522,5,0
1529904122,0,1
1529904722,2,0
1529905323,0,9
1529906522,2,4
1529908322,1,1
1529908921,1,3
1529910122,5,0
1529911322,2,10
1529912521,1,0
