DateTime,AddedIPs,RemovedIPs
1529497923,4,4
1529498521,2,2
1529499122,1,1
1529500322,3,3
1529500922,2,2
1529501522,5,5
1529502121,1,1
1529502721,3,3
1529503322,5,5
1529504522,4,4
1529505721,17,17
1529506321,3,3
1529506921,3,3
1529507523,5,5
1529508122,8,8
1529508722,12,12
1529509322,4,4
1529510521,17,17
1529511122,3,3
1529511721,3,3
1529512922,4,4
1529513521,6,6
1529514121,7,7
1529515322,8,8
1529515921,6,6
1529516521,3,3
1529517721,2,2
1529518922,5,5
1529519522,6,6
1529520122,6,6
1529521321,11,11
1529522522,3,3
1529523722,15,15
1529524321,5,5
1529524922,2,2
1529525522,8,8
1529526122,2,2
1529527322,3,3
1529528522,8,8
1529529121,4,4
1529529721,2,2
1529530921,3,3
1529532122,20,20
1529533321,7,7
1529534522,3,3
1529535122,1,1
1529536322,8,8
1529536922,7,7
1529538122,18,18
1529539322,10,10
1529539922,4,4
1529540522,5,5
1529541121,3,3
1529541721,4,4
1529542322,2,2
1529542921,4,4
1529543522,5,5
1529544122,5,5
1529544721,11,11
1529545322,5,5
1529546522,12,12
1529547121,3,3
1529547722,2,2
1529548321,2,2
1529548921,2,2
1529549522,6,6
1529550122,8,8
1529550721,15,15
1529551322,3,3
1529552522,4,4
1529553121,7,7
1529553722,2,2
1529554923,5,5
1529556122,13,13
1529557322,4,4
1529557921,2,2
1529558522,2,2
1529559121,2,2
1529559721,3,3
1529560322,3,3
1529560923,8,8
1529562122,17,17
1529563322,8,8
1529564522,7,7
1529565122,11,11
1529565721,8,8
1529566321,2,2
1529566922,10,10
1529567521,5,5
1529568122,6,6
1529569321,10,10
1529569921,1,1
1529570522,3,3
1529571122,1,1
1529571721,6,6
1529572922,9,9
1529574121,7,7
1529575322,6,6
1529575921,6,6
1529576522,8,8
1529577722,1,1
1529578322,2,2
1529578922,4,4
1529580122,6,6
1529581321,3,3
1529581922,8,8
1529582521,3,3
1529583721,8,8
1529584922,7,7
1529586122,14,14
1529586722,2,2
1529587321,3,3
1529588522,4,4
1529589721,3,3
1529590922,5,5
1529592121,5,5
1529593322,5,5
1529594522,14,14
1529595121,2,2
1529595721,3,3
1529596322,1,1
1529596922,8,8
1529598122,5,5
1529598722,5,5
1529599321,5,5
1529600521,4,4
1529601121,9,9
1529601722,5,5
1529602321,1,1
1529602921,1,1
1529604122,3,3
1529604722,6,6
1529605321,3,3
1529605922,1,1
1529606522,7,7
1529607122,2,2
1529607721,4,4
1529608922,6,6
1529609521,1,1
1529610122,6,6
1529611323,10,10
1529611921,7,7
1529612521,6,6
