DateTime,Entries,UniqueIPs
1528116302,5784,5784
1528119902,5899,5899
1528123502,5991,5991
1528128001,6130,6130
1528131602,6217,6217
1528135202,6296,6296
1528138802,6655,6655
1528142402,7037,7037
1528146002,7267,7267
1528149602,7391,7391
1528153202,7512,7512
1528156802,5598,5598
1528160402,5701,5701
1528164002,5788,5788
1528167602,5913,5913
1528171202,6045,6045
1528174801,6173,6173
1528178402,6335,6335
1528182002,6445,6445
1528185602,6601,6601
1528189202,6717,6717
1528192802,6850,6850
1528196402,6989,6989
1528200002,7115,7115
1528203601,7245,7245
1528207202,7353,7353
1528210803,7457,7457
1528214402,7575,7575
1528218002,7665,7665
1528221601,7756,7756
1528225203,7854,7854
1528228802,7935,7935
1528232402,8010,8010
1528236002,8088,8088
1528239602,8167,8167
1528243202,4294,4294
1528246802,4386,4386
1528250401,4473,4473
1528254002,4569,4569
1528257602,4672,4672
1528261202,4759,4759
1528264801,4862,4862
1528268401,5011,5011
1528272002,5189,5189
1528275602,5562,5562
1528279202,5788,5788
1528282802,6021,6021
1528286402,6165,6165
1528290002,6344,6344
1528293601,6534,6534
1528297202,6704,6704
1528300802,6796,6796
1528304402,6895,6895
1528308002,6965,6965
1528308002,6965,6965
1528313402,7090,7090
1528317901,7206,7206
1528322401,7304,7304
1528322401,7304,7304
1528329602,4682,4682
1528335001,4953,4953
1528338602,5080,5080
1528342202,5165,5165
1528345801,5261,5261
1528349401,5364,5364
1528353002,5490,5490
1528356602,5613,5613
1528360202,5785,5785
1528363802,5952,5952
1528367402,6088,6088
1528371002,6223,6223
1528374602,6474,6474
1528378202,6612,6612
1528381801,6714,6714
1528385402,6822,6822
1528389002,6925,6925
1528392602,7025,7025
1528396201,7127,7127
1528399802,7198,7198
1528403402,7373,7373
1528407001,7481,7481
1528410602,7566,7566
1528414202,7639,7639
1528417802,4567,4567
1528421401,4670,4670
1528425001,4754,4754
1528428602,4850,4850
1528432202,4951,4951
1528435802,5055,5055
1528439402,5162,5162
1528443002,5250,5250
1528446601,5389,5389
1528450202,5529,5529
1528453802,5687,5687
1528457401,5810,5810
1528461002,5930,5930
1528464602,6073,6073
1528469102,6257,6257
1528472701,6411,6411
1528476302,6549,6549
1528479902,6670,6670
1528483502,6812,6812
1528487102,6929,6929
1528490702,7017,7017
1528494302,7115,7115
1528498802,7250,7250
1528502402,4246,4246
1528506002,4362,4362
1528509602,4507,4507
1528513202,4625,4625
1528516802,4751,4751
1528520402,4891,4891
1528524002,5036,5036
1528527602,5207,5207
1528531202,5334,5334
1528534802,5454,5454
1528538402,5637,5637
1528542002,5770,5770
1528545602,5882,5882
1528549202,6007,6007
1528552802,6110,6110
1528556402,6204,6204
1528560002,6295,6295
1528563602,6397,6397
1528567202,6484,6484
1528570802,6588,6588
1528574402,6693,6693
1528578002,6784,6784
1528581602,6877,6877
1528586101,6976,6976
1528589701,4350,4350
1528593301,4428,4428
1528596902,4548,4548
1528600502,4643,4643
1528604102,4748,4748
1528607702,4820,4820
1528611301,4920,4920
1528614902,5005,5005
1528618502,5087,5087
1528622102,5191,5191
1528625702,5411,5411
1528629302,5748,5748
1528632902,5958,5958
1528636501,6150,6150
1528640101,6300,6300
1528643701,6359,6359
1528647302,6436,6436
1528650902,6525,6525
1528654501,6595,6595
1528658102,6675,6675
1528661701,6759,6759
1528666202,6866,6866
1528669802,6947,6947
1528673402,7012,7012
1528677002,4379,4379
1528680602,4509,4509
1528684201,4641,4641
1528687802,4754,4754
1528691402,4841,4841
1528695002,4962,4962
1528698602,5097,5097
1528702201,5223,5223
1528705802,5354,5354
1528709401,5524,5524
1528713002,5670,5670
1528716601,5797,5797
1528720202,5900,5900
1528723802,6062,6062
1528727402,6178,6178
1528731002,6304,6304
1528734601,6423,6423
1528738202,6514,6514
1528741802,6622,6622
1528745402,7091,7091
1528749002,7392,7392
1528752601,7609,7609
1528756202,8261,8261
1528759802,8426,8426
1528763402,5917,5917
1528767002,6029,6029
1528770601,6135,6135
1528774201,6258,6258
1528777802,6349,6349
1528781401,6452,6452
1528785002,6595,6595
1528788602,6891,6891
1528792201,7032,7032
1528795802,7137,7137
1528799402,7307,7307
1528803002,7473,7473
1528806602,7699,7699
1528810202,7875,7875
1528813802,8081,8081
1528817401,8296,8296
1528821002,8414,8414
1528824602,8512,8512
1528828202,8613,8613
1528831802,8751,8751
1528835401,8855,8855
1528839002,8959,8959
