DateTime,AddedIPs,RemovedIPs
1526868197,3,5
1526871797,2,0
1526875337,3,2
1526878998,2,0
1526882598,1,3
1526886198,1,0
1526889799,1,0
1526893400,1,1
1526893891,2,0
1526896950,0,1
1526900550,0,3
1526907811,3,2
1526914954,1,5
1526916510,1,0
1526922211,1,1
1526925750,1,2
1526929350,3,0
1526933010,1,0
1526936550,1,1
1526940211,1,1
1526943750,0,3
1526947410,0,1
1526954552,1,0
1526958152,2,6
1526961752,3,1
1526968952,0,4
1526972611,1,1
1526979811,1,0
1526983352,1,7
1526990611,0,2
1526994152,1,0
1526997811,1,3
1527004952,0,5
1527008552,2,0
1527012151,2,3
1527022952,1,0
1527026612,1,3
1527030153,2,0
1527033813,0,1
1527040952,1,1
1527044613,2,0
1527048213,2,3
1527055353,4,4
1527062554,0,3
1527066214,1,0
1527073413,1,4
1527079952,0,2
1527091352,2,2
1527094953,0,2
1527098552,0,2
1527102213,1,0
1527105753,3,7
1527109412,2,0
1527112953,0,1
1527116552,0,2
1527127355,1,2
1527130953,2,4
1527134554,3,0
1527138154,2,0
1527141754,4,3
1527145595,1,5
1527153273,3,4
1527156217,1,0
1527159757,1,1
1527167013,1,3
1527170553,2,1
1527174154,3,0
1527177753,2,1
1527181413,2,1
1527185014,2,0
1527188615,0,1
1527192214,0,4
1527195755,2,0
1527206615,1,0
1527210154,0,2
1527213754,3,0
1527217354,2,5
1527220955,5,0
1527224554,1,7
1527228214,1,3
1527239014,1,0
1527242555,1,1
1527246215,1,1
1527253354,2,1
1527257015,1,0
1527260614,2,4
1527264154,3,0
1527267815,2,3
1527271414,3,2
1527274954,1,0
1527278554,0,3
1527282214,2,0
1527285816,2,0
1527289355,2,0
1527294009,0,2
1527296554,3,0
1527300155,1,3
1527303815,2,0
1527307354,3,5
1527310955,1,2
1527314615,0,2
1527318155,1,3
1527321756,0,1
1527325355,0,0
1527329017,2,2
1527332556,0,1
1527336156,2,0
1527339756,0,5
1527343415,1,2
1528311787,279,343
1528315387,1,0
1528322587,0,4
1528329787,1,1
1528333387,1,1
1528336987,0,2
1528340588,1,0
1528344192,5,5
1528347858,3,4
1528351333,2,0
1528354991,1,2
1528358592,0,6
1528362193,3,0
1528365428,1,2
1528369328,0,1
1528372988,1,0
1528376528,1,1
1528380188,2,0
1528383789,1,2
1528387388,2,0
1528390989,3,1
1528394588,3,3
1528398190,2,2
1528405389,2,0
1528408929,0,2
1528412534,0,1
1528416197,2,0
1528423389,1,2
1528426929,2,6
1528430590,3,0
1528434195,0,3
1528441406,0,1
1528444990,0,1
1528452129,2,2
1528455789,0,2
1528459389,1,0
1528462993,0,1
1528466589,1,0
1528470190,1,1
1528471509,0,1
1528477389,1,1
1528480989,1,2
1528484589,2,0
1528491789,0,4
1528495330,1,0
1528498991,0,1
1528502530,2,3
1528506191,2,0
1528509790,2,5
1528516990,2,7
1528524190,1,3
1528527791,0,2
1528531334,0,3
1528534992,2,0
1528538050,1,0
1528542191,1,0
1528545790,0,2
1528549390,2,0
1528552991,1,2
1528556591,2,0
1528560191,3,0
