DateTime,AddedIPs,RemovedIPs
1527958983,0,1
1527962584,1,3
1527966183,3,0
1527969785,1,1
1527973384,1,2
1527976984,2,1
1527980583,0,0
1527984183,2,3
1527987784,1,1
1527991385,1,0
1527994925,2,2
1527998585,3,3
1528000443,1,1
1528002183,0,1
1528005783,2,1
1528009385,2,3
1528016589,2,2
1528020185,1,0
1528023785,3,2
1528030988,3,2
1528034585,3,2
1528038186,0,1
1528041724,2,1
1528045385,1,1
1528048984,2,1
1528052586,1,1
1528056185,2,1
1528059785,2,1
1528063385,2,0
1528066984,2,1
1528070584,0,1
1528077124,1,0
1528081324,1,2
1528084988,1,1
1528088586,1,4
1528092185,1,4
1528095785,2,0
1528099385,2,0
1528102985,3,2
1528106585,0,1
1528110185,1,1
1528112165,0,1
1528117385,3,2
1528120985,1,2
1528124586,2,3
1528128187,3,0
1528131786,0,1
1528135387,2,2
1528138987,4,5
1528142587,1,1
1528146185,2,3
1528149727,1,0
1528153385,1,2
1528156986,1,0
1528160585,1,0
1528164185,1,0
1528167785,2,3
1528171385,5,6
1528174265,3,1
1528178586,1,3
1528185786,2,4
1528189387,0,2
1528192986,0,1
1528196526,3,0
1528200188,2,2
1528203786,1,2
1528207387,2,0
1528210987,2,4
1528214587,1,1
1528218188,2,0
1528221786,0,1
1528225386,0,3
1528228991,1,1
1528232586,1,0
1528236187,2,3
1528239787,2,2
1528243386,1,1
1528246987,1,2
1528250587,0,1
1528254186,2,3
1528257786,3,5
1528264987,2,2
1528268587,0,1
1528272188,3,2
1528275788,2,3
1528279327,2,1
1528282987,1,4
1528290187,1,1
1528293793,2,3
1528297387,1,0
1528300988,1,1
1528304591,4,1
1528308134,4,1
1528311787,0,0
1528315387,1,1
1528322587,0,6
1528329787,2,4
1528333387,1,1
1528336987,1,0
1528340588,2,2
1528344192,5,5
1528347858,3,3
1528351333,2,2
1528354991,1,3
1528358592,0,1
1528362193,4,2
1528365428,1,0
1528365788,0,3
1528369328,2,2
1528372988,1,0
1528376528,1,2
1528380188,2,3
1528383789,1,1
1528387388,2,1
1528390989,3,2
1528394588,4,6
1528398190,3,2
1528401789,0,3
1528405389,3,2
1528412534,2,0
1528416197,3,1
1528419488,0,1
1528423389,2,1
1528426929,2,2
1528430590,3,3
1528434195,1,2
1528437789,0,3
1528444990,2,0
1528448590,0,1
1528452129,2,2
1528455789,0,3
1528459389,2,1
1528462993,1,0
1528466589,1,2
1528470190,1,3
1528471509,0,1
1528477389,1,3
1528480989,3,1
1528484589,2,1
1528488190,0,1
1528491789,1,1
1528495330,1,3
1528498991,1,1
1528502530,2,2
1528506191,3,0
1528509790,2,2
1528513331,0,4
1528516990,2,1
1528524190,1,2
1528527791,0,1
1528534992,2,4
1528538050,1,1
1528538590,0,1
1528542191,1,0
1528545790,1,1
1528549390,2,1
1528552991,1,0
1528556591,2,4
1528560191,3,3
1528563795,4,2
1528567392,0,1
1528578190,1,2
1528581795,2,4
1528585390,1,2
1528588990,1,2
1528596190,1,0
1528599792,1,3
1528603395,4,6
1528617792,1,3
1528621391,2,1
1528624991,1,2
1528628591,2,0
1528632132,1,1
1528635792,3,1
1528639332,3,1
1528642991,1,1
1528646532,1,1
1528650192,2,2
1528653791,1,0
1528657391,0,1
1528660932,3,1
1528664592,2,1
1528668192,2,0
1528671794,1,1
1528686196,1,2
1528689792,4,3
1528693333,2,2
1528696992,0,2
1528700532,1,0
1528704193,3,3
1528707793,4,1
1528711333,2,1
1528714933,2,1
1528718532,1,0
1528722193,3,0
1528725733,1,1
1528729393,0,3
1528732993,0,2
1528736593,2,1
1528740193,1,2
1528743793,1,1
1528750994,1,4
1528754593,1,2
1528758134,1,0
1528761794,0,1
1528765394,1,3
1528768994,3,5
1528772533,2,2
1528776194,2,4
1528779793,1,2
1528783394,1,5
1528786993,2,4
1528790597,0,2
1528794194,2,3
1528797737,3,3
1528801394,2,0
1528804993,0,1
1528808654,3,2
1528812194,2,1
1528815794,6,0
1528819394,7,1
1528822994,3,3
1528833797,1,1
1528837397,1,0
1528840994,2,1
1528844595,2,4
1528851794,1,0
1528853174,1,2
1528858994,1,0
1528862536,5,4
1528866134,1,1
1528869794,1,2
1528873394,3,3
1528876994,2,1
1528880598,2,2
1528884138,2,2
1528887797,1,1
1528891394,0,2
1528894994,1,3
1528898594,3,3
1528902196,0,2
1528905794,0,1
1528909394,0,1
1528912998,3,0
1528920199,2,3
1528923794,1,0
1528927934,2,1
1528938195,0,3
1528941798,1,1
1528945396,3,3
1528948997,4,5
1528952596,1,3
1528956199,1,1
1528959796,1,0
1528963336,2,2
1528966935,5,3
1528970596,7,1
1528974135,1,0
1528977796,2,4
1528981396,4,3
1528984996,1,2
1528988596,2,2
1528992196,1,3
1528995795,2,1
1528999338,1,0
1529010196,1,1
1529013796,1,2
1529017338,6,2
1529020996,1,1
1529028196,3,2
1529031800,1,3
1529035396,2,3
1529038997,0,2
1529042535,0,1
1529046195,2,1
1529049797,2,2
1529053396,0,2
1529056997,2,1
1529060596,2,2
1529064140,3,1
1529067738,0,1
1529071396,2,3
1529074996,1,2
1529082196,0,3
1529085796,0,1
1529089396,5,1
1529092996,3,1
1529096597,2,2
1529100136,2,0
1529103801,1,0
1529107396,1,1
1529114601,2,3
1529118196,2,2
1529121799,3,5
1529125396,0,2
1529128936,3,2
1529132540,2,0
1529135596,0,2
1529139797,2,2
1529143397,3,3
1529146997,2,2
1529150597,0,3
1529154197,2,4
1529157738,1,0
1529161397,3,1
1529164940,2,1
1529168598,2,2
1529172198,0,1
1529175797,3,5
1529182938,2,1
1529186599,0,1
1529190199,1,1
1529193739,2,1
1529197397,0,1
1529200999,2,1
1529204538,3,3
1529208199,3,3
1529211799,1,1
1529215399,3,2
1529218997,3,1
1529222599,3,1
1529233398,1,2
1529236999,1,1
1529240599,0,1
1529244199,1,2
1529247799,4,4
1529251339,1,0
1529254518,2,1
1529258539,1,1
1529262140,1,1
1529265799,3,4
1529276599,1,4
1529283799,1,1
1529287402,2,2
1529290999,2,2
1529294599,4,5
1529298198,3,0
1529301798,0,3
1529305339,2,1
1529308939,3,1
1529312598,4,1
1529316199,0,1
1529319738,0,1
1529320606,3,0
1529323425,17,0
1529326966,3,0
1529330566,2,1
1529334166,1,1
1529337825,1,3
1529341427,7,1
1529344967,4,2
1529348625,4,4
1529352229,1,3
1529355766,1,1
1529359425,2,1
1529362967,2,2
1529366567,3,1
1529370168,1,0
1529373770,3,2
1529377367,2,3
1529381027,2,2
1529384570,0,1
1529388166,2,2
1529391769,1,4
1529395427,3,0
1529398967,2,4
1529402567,4,0
1529406167,1,2
1529409768,4,8
1529413427,1,2
1529417028,1,1
1529420567,1,3
1529424166,0,1
1529427767,3,1
1529431367,1,2
1529434967,2,2
1529438567,1,4
1529442167,0,2
1529445827,1,1
1529449368,1,1
1529453028,1,1
1529456632,0,4
1529460168,3,1
1529463771,2,2
1529467371,5,3
1529468447,2,2
1529474567,1,6
1529478231,0,1
1529481767,1,0
1529485367,1,2
1529492567,1,4
1529496168,1,2
1529499767,1,0
1529503368,0,4
1529506967,1,5
1529510628,2,3
1529511227,2,2
1529517827,2,7
1529521367,2,1
1529525028,0,1
1529532167,2,0
1529535768,2,2
1529539369,3,0
1529542967,1,4
1529546570,4,4
1529550167,5,7
1529553767,3,2
1529557368,2,2
1529561028,0,2
1529564748,1,2
1529568169,0,1
1529571769,3,3
1529575368,2,2
1529578969,2,2
1529582629,4,2
1529586168,6,1
1529589828,1,1
1529593368,1,3
1529596968,1,4
1529600628,2,2
1529604168,0,2
1529607769,2,3
1529611429,2,0
1529614969,4,0
1529618569,4,3
1529625768,1,0
1529629368,1,3
1529632970,3,3
1529636628,3,5
1529640229,4,3
1529643769,1,0
1529647371,1,1
1529654568,1,2
1529658170,1,2
1529661829,4,2
1529663269,1,1
1529665369,0,1
1529668972,1,0
1529672569,3,3
1529676169,3,1
1529679769,3,1
1529683369,2,4
1529687030,5,2
1529690569,1,1
1529694229,1,1
1529701369,0,1
1529704969,1,1
1529708570,2,1
1529712169,2,4
1529715770,0,2
1529719370,2,2
1529722969,2,2
1529726569,2,2
1529730174,2,2
1529733774,3,3
1529737433,2,1
1529743670,4,0
1529744571,0,1
1529748233,2,3
1529751774,2,2
1529755371,1,1
1529758970,1,2
1529762570,1,2
1529766172,1,3
1529769770,2,3
1529773372,3,2
1529776974,1,4
1529784171,2,1
1529787771,1,1
1529791371,0,2
1529795031,0,1
1529805110,2,1
1529805771,0,1
1529809371,7,6
1529813031,3,3
1529823831,2,1
1529827372,0,1
1529830975,1,1
1529834812,2,1
1529838171,3,3
1529841834,3,3
1529845372,2,1
1529848972,1,2
1529852572,5,5
1529856175,2,2
1529859772,0,2
1529863372,2,0
1529866972,2,1
1529870575,2,3
1529874176,2,0
1529877772,1,0
1529881372,0,1
