DateTime,AddedIPs,RemovedIPs
1527791581,0,4
1527795181,3,0
1527798781,0,3
1527805981,2,3
1527809581,3,4
1527813181,1,0
1527816781,0,3
1527820381,3,0
1527823981,2,1
1527831181,1,0
1527841981,0,1
1527845581,0,1
1527849182,3,0
1527852781,0,1
1527856381,2,3
1527859981,5,3
1527863581,0,3
1527867182,2,5
1527870781,3,0
1527874381,1,1
1527881581,3,1
1527885181,2,1
1527892381,3,0
1527895981,0,2
1527899581,0,1
1527906781,1,1
1527910381,0,0
1527913981,1,4
1527917581,3,2
1527921631,2,0
1527924781,0,1
1527928381,1,1
1527931981,2,2
1527935581,1,0
1527939181,2,5
1527942781,0,2
1527946381,1,0
1527949982,0,2
1527953581,0,1
1527957632,2,3
1527960781,0,0
1527964381,2,2
1527967981,1,2
1527971581,2,1
1527975181,0,0
1527978781,0,4
1527982381,2,0
1527985981,2,1
1527989581,1,3
1527993631,3,0
1527996781,0,0
1528000381,2,3
1528003981,1,3
1528011182,1,0
1528018382,1,1
1528021981,0,3
1528025581,2,2
1528032782,0,1
1528039982,1,0
1528043581,2,3
1528047181,1,0
1528050781,1,1
1528054381,3,1
1528057981,1,0
1528061581,4,2
1528065181,1,0
1528068781,1,0
1528072381,1,1
1528075981,1,4
1528079581,0,1
1528083181,1,0
1528086782,0,2
1528090381,0,1
1528093981,0,2
1528101181,2,0
1528104781,7,2
1528108381,3,0
1528122782,0,1
1528126381,1,1
1528129981,3,9
1528137181,0,6
1528140782,1,0
1528144381,1,1
1528147981,2,0
1528151581,1,1
1528158781,1,4
1528162381,2,0
1528169581,1,2
1528173181,1,0
1528180381,5,1
1528183982,6,0
1528187581,0,5
1528191181,2,1
1528194781,1,0
1528198381,1,2
1528201981,1,1
1528209181,1,0
1528212781,4,1
1528219981,3,0
1528227181,0,3
1528230781,1,0
1528234382,1,1
1528241581,0,2
1528245181,1,0
1528248781,2,1
1528252381,1,0
1528255981,3,3
1528263181,3,6
1528266781,2,4
1528273981,3,0
1528277581,0,6
1528281181,3,0
1528284781,0,4
1528288381,1,0
1528291981,2,0
1528295581,1,0
1528299181,0,1
1528302781,3,0
1528306381,2,3
1528312233,4,1
1528317181,1,1
1528320781,2,0
1528324381,1,1
1528327981,0,0
1528332031,3,1
1528335181,0,1
1528338781,1,4
1528345981,0,1
1528349581,2,0
1528353181,2,2
1528360382,1,4
1528363981,1,2
1528367581,1,0
1528374781,1,5
1528378381,1,0
1528381981,0,4
1528385581,2,0
1528389181,0,3
1528396381,4,2
1528399981,0,4
1528403581,1,0
1528407181,0,1
1528410781,2,3
1528414381,0,1
1528417981,2,2
1528421581,2,0
1528425181,0,2
1528432381,1,0
1528435982,0,3
1528439581,4,0
1528443181,3,3
1528446781,0,2
1528450381,2,0
1528453981,2,1
1528461181,3,4
1528464781,4,0
1528468381,6,2
1528471981,2,2
1528475582,2,0
1528479181,1,2
1528482781,3,0
1528486381,0,3
1528489981,4,0
1528493581,1,0
1528497181,1,2
1528500781,4,0
1528504381,0,1
1528511581,0,2
1528515181,2,1
1528518781,4,0
1528525981,1,3
1528529581,2,2
1528533181,0,1
1528536781,3,1
1528540381,4,0
1528543981,0,2
1528547581,1,3
1528551181,3,2
1528558381,0,5
1528561981,1,3
1528569181,2,0
1528572781,1,0
1528576381,2,3
1528579982,0,3
1528583581,0,1
1528587181,1,4
1528597981,4,1
1528601581,0,1
1528605181,1,0
1528608781,4,1
1528612381,2,3
1528615981,5,0
1528623181,2,1
1528626781,0,3
1528630382,3,0
1528633982,3,1
1528637581,0,3
1528641181,0,3
1528644781,3,0
1528648381,0,3
1528651981,2,4
1528655581,0,1
1528659181,1,0
1528662781,0,3
1528666381,3,0
1528669981,3,0
1528673581,1,0
1528680781,1,2
1528684381,2,0
1528687981,0,2
1528691581,2,2
1528695181,3,2
1528702381,3,2
1528705982,1,3
1528709581,3,0
1528713181,2,4
1528720381,0,1
1528723982,0,1
1528727581,3,0
1528731181,0,1
1528734781,1,1
1528738381,2,0
1528741981,0,4
1528745581,1,0
1528749181,0,2
1528756381,1,3
1528763581,1,1
1528767181,2,0
1528770781,2,0
1528774381,3,0
1528777981,2,2
1528781581,4,2
1528785181,4,3
1528792382,1,1
