DateTime,AddedIPs,RemovedIPs
1527874381,9,10
1527881581,17,18
1527885181,12,10
1527888781,11,11
1527892381,9,11
1527895981,7,6
1527903181,16,14
1527906781,15,19
1527910381,0,0
1527913981,13,12
1527917581,11,12
1527921631,10,12
1527924781,0,0
1527928381,10,7
1527931981,13,12
1527935581,8,12
1527939181,7,6
1527942781,0,0
1527946381,11,8
1527949982,3,4
1527953581,0,0
1527957632,14,14
1527960781,0,0
1527964381,16,16
1527967981,8,8
1527971581,14,12
1527975181,9,12
1527978781,0,0
1527982381,7,5
1527985981,12,15
1527989581,8,9
1527993631,15,14
1527996781,0,0
1528000381,11,10
1528003981,5,5
1528007582,4,5
1528011182,13,12
1528018382,8,8
1528021981,10,10
1528025581,8,10
1528029181,8,7
1528036381,11,9
1528039982,8,7
1528043581,13,17
1528047181,10,9
1528050781,12,11
1528054381,10,11
1528057981,4,3
1528061581,7,9
1528065181,10,7
1528068781,4,4
1528072381,14,16
1528075981,9,10
1528083181,14,14
1528086782,8,9
1528090381,8,6
1528093981,5,4
1528101181,6,9
1528104781,18,15
1528108381,16,15
1528115582,9,9
1528119181,14,16
1528126381,12,14
1528129981,6,6
1528133581,8,6
1528140782,11,14
1528144381,8,9
1528147981,11,7
1528151581,7,8
1528158781,13,15
1528162381,16,14
1528169581,8,11
1528173181,12,10
1528180381,19,19
1528183982,22,19
1528191181,14,17
1528194781,9,8
1528198381,12,12
1528201981,7,8
1528209181,8,8
1528212781,11,9
1528219981,18,18
1528223581,10,11
1528227181,12,12
1528230781,9,9
1528234382,16,13
1528241581,5,7
1528245181,6,6
1528248781,10,12
1528252381,8,8
1528255981,14,12
1528263181,12,13
1528266781,13,13
1528273981,19,18
1528277581,7,7
1528281181,15,12
1528288381,8,11
1528291981,11,9
1528295581,12,12
1528302781,11,15
1528306381,18,18
1528312233,20,17
1528317181,9,11
1528320781,9,9
1528324381,10,8
1528327981,5,6
1528332031,14,14
1528338781,8,7
1528345981,10,13
1528349581,13,10
1528353181,8,9
1528360382,12,12
1528363981,12,14
1528367581,12,11
1528374781,7,6
1528378381,14,17
1528385581,19,16
1528389181,6,8
1528396381,16,17
1528403581,15,13
1528410781,13,14
1528417981,5,5
1528421581,11,11
1528425181,7,6
1528428781,7,7
1528432381,11,13
1528439581,13,12
1528443181,16,18
1528450381,14,11
1528453981,11,13
1528461181,12,11
1528464781,9,10
1528468381,19,15
1528471981,12,12
1528475582,9,14
1528479181,9,8
1528482781,12,10
1528489981,18,18
1528493581,18,20
1528497181,10,8
1528500781,11,13
1528504381,13,10
1528507981,6,7
1528515181,11,12
1528518781,16,12
1528525981,7,7
1528529581,11,11
1528536781,13,14
1528540381,14,15
1528547581,9,8
1528551181,17,16
1528558381,14,16
1528561981,13,11
1528569181,10,9
